MONTH;YEAR;INA INDUSTRIJA NAFTE;HRVATSKI TELEKOM;PRIVREDNA BANKA;ZAGREBACKA BANKA SER A;JADRANSKI NAFTOVODI;PLAVA LAGUNA;SNH DELTA DD;AD PLASTIK;ADC.CROATIA INTL.CLUB;AGROMEDIMURJE;APARTMANI MEDENA;ARENATURIST;ATLANTIC GRUPA;ATLANTSKA PLOVIDBA;AUTO-HRVATSKA ZAGREB;BADEL 1862;BC INSTITUT;BELJE DARDA;BILOKALNIK;BRIONKA D D;BRODOGRAD INDUSTRIES;BRODOGRADVLENAC;BRODOMERKUR DD;CAKOVECKI MLINOVI;CATEKS;CHROMOS AGRO DD;CROATIA AIRLINES;DALEKOVOD D D;DALMA;DOMACA TVORNICA RUBLJA TEKSTILNA KONFEKCIJA;DUBROVACKO PRIMORJE;DUKAT DD;DURO DAKOVIC HOLDING;ELEKTROMETAL BJELOVAR;ELEKTROPROJEKT D D;ELEKTROPROMET;ERICSSON NIKOLA;EUROHERC OSIGURANJE;EUROPLANTAZE;EXCELSA NEKRETNINE;FINVEST;FTB TURIZAM DD;GABARIT;GRANOLIO DD;HIDROELEKTRA NISKGR.;HOTEL MEDENA;HOTELI BASKA VODA;HOTELI BRELA;HOTELI HALUDOVO MALINSKA;HOTELI MAESTRAL;HOTELI MAKARSKA;HOTELI TUCEPI;HOTELI VODICE;HOTELI ZIVOGOSCE;HOTELI ZLATNI;HOTELJ JADRAN;HRVATSKA POSTANSKA BANKA;HRVATSKI DUHANI DD;HTP KORCULA;HTP OREBIC;HUP ZAGREB;IMPERIJAL;IMUNOLOSKI ZAVOD DD;INGRA ZAGREB;INSTITUT GRADEVINARSTVA;IPK KANDIT;ISTARSKA KREDITNA BANKA;ISTRA;JADRAN FILM;JADRAN TVORNIKA;JADRANSKO OSIGURANJE D D;JADROAGENT;JADROPLOV;JAMNICA;JELSA DD;KAMENSKO;KARLOVACKA BANKA;KEMIKA DD;KOESTLIN;KOKA;KONCAR DISBIV.SPJITRFI.;KONCAR ELEKTROINDUSTRIJA;KOTEKS;KRAS;KREDITNA BANKA ZAGREB;KUTJEVO;LEDO;LIBURNIA RIVIERA H;LLIRIJA;LOSINJSKA PLOVIDBA;LUKA PLOCE;LUKA RIJEKA DD RIJEKA;LUX ULAGANJA;MAGMA;MAISTRA;MARASKA;MEDIKA;MEDORA HOTELI I LJETOVALISTA;MIV;NAVA BANKA DD;NEXE GRUPA;OLYMPIA VODICE;OPEKA;OT-OPTIMA TELEKOM ZA TELEKOMUNIKACIJE;PALACE HOTEL;PECTINATUS;PETROKEMIJA;PEVEC D D;PIK-VINKOVCI DD;PIKRIJELKA;PISMORAD;PODRAVASKA BANKA;PODRAVKA PREHRAMBENA INDUSTRIJA;POUNJE TRIKOTAZA;PROFICIO;PULJANKA;QUAESTUS NEKRETNINE;RIVIERA HOLDINGS;RIZ ODASILJACI;SAPONIA DD;SLATINSKA BANKA;SNH ALFA DD;SNH BETA D D;SNH GAMA DD;SOLARIS;SPACVA;SPIN VALIS;TANKERSKA NEXT GNRTN.;TANKREKOMERC;TEHNIKA DD;TEKSTILPROMET;TISAK TRGOVACKO;TLM TVOR.LAKIH METALA;TURISTHOTEL DD ZADAR;TVORNICA STOCNE HRANE;ULJANIK;ULJANIK PLOVIDBA;VABA;VARTEKS;VIDUKT;VIRO TVORNICA SECERA;VJESNIK DD;VUPIK;ZAGREBACKA BURZA DD;ZAGREBACKE PEKARNE KLARA;ZIF FIMA PROPRIUS;ZITNJAK;ZVECEVO PREHRAMBENA;ZVIJEZDA DD;ADRIS GRUPA;CROATIA OSIGURANJE;KONCAR SKLOPNA POSJA.
1;2004;NA;NA;0;0;0;0;NA;NA;0;NA;0;0.066666667;NA;0.142680285;NA;0;0;NA;NA;NA;NA;NA;0;NA;0;NA;NA;0.020689655;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0.000436224;NA;NA;NA;NA;NA;NA;0;0;0;NA;0.027104137;NA;NA;0;0;0;0;-0.01743982;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;-5.76701E-05;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.001955034;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;-0.005434783;NA
1;2004;NA;NA;0;0;0;0.007751938;NA;NA;0;NA;0;0.145625;NA;0;NA;0.066666667;0;NA;NA;NA;NA;NA;0;NA;0;0;NA;0.013513514;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0.000959274;NA;NA;NA;NA;NA;NA;0;0;0;NA;0.027777778;NA;NA;0;0;-0.000700673;0;-3.5713E-05;0;NA;0.123076923;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;-0.007901263;NA;NA;NA;NA;-0.002642008;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0.00273224;NA
1;2004;NA;NA;0;0;0;0;NA;NA;0;NA;0;0;NA;0.000541712;NA;0;0;NA;NA;NA;NA;NA;0;NA;0;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0.00191671;NA;NA;NA;NA;NA;NA;0;0;0;NA;0;NA;NA;0;0;0;0;0.007142857;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0.000125;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0.008080456;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;-0.005609756;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;-0.005449591;NA
1;2004;NA;NA;0;0;-0.049440215;0;NA;NA;-0.191168;NA;0;0.272413166;NA;0.099621007;NA;0;0;NA;NA;NA;NA;NA;0;NA;0;2.267973856;NA;0.066666667;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0.008695652;NA;NA;NA;NA;NA;NA;0;0;0;NA;0.013513514;NA;NA;0;0;0.006871407;0;-0.007021277;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0.006622517;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.005641403;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;-0.012328767;NA
1;2004;NA;NA;0;0;-2.63137E-05;0.003846154;NA;NA;0;NA;0;-0.028154924;NA;0;NA;0.08125;0;NA;NA;NA;NA;NA;0;NA;0;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;-0.004224138;NA;NA;NA;NA;NA;NA;0;0;0;NA;0.106666667;NA;NA;0.266666667;0;0.016713092;0;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;5.76668E-05;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;-0.002439024;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;-0.001386963;NA
1;2004;NA;NA;0;-0.065231159;0;7.66284E-06;NA;NA;0.186896661;NA;0;-0.044117647;NA;0;NA;-0.01734104;0;NA;NA;NA;NA;NA;0;NA;0;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0.017241379;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0.003549476;NA;NA;NA;NA;NA;NA;0;0;0;NA;0.011807229;NA;NA;0;0;-0.022465753;0;-3.57117E-05;0;NA;0.02739726;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0.466997871;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;0.013157895;0.538461538;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0.001388889;NA
1;2004;NA;NA;-0.021276596;0;-5.26288E-05;0.000819917;NA;NA;0.0375;NA;0;0.007692308;NA;0.136139833;NA;0;0;NA;NA;NA;NA;NA;0;NA;0;0;NA;0.00625;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;-0.052631579;0;NA;-0.000952608;NA;NA;0;0;0;0;0;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0.005651021;NA;NA;NA;NA;-0.023376623;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0.00554785;NA
1;2004;NA;NA;0.02173913;0;0;0.001470048;NA;NA;0;NA;0;-0.007633588;NA;0;NA;0;0;NA;NA;NA;NA;NA;0;NA;0;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.083333333;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;0;0;NA;-0.140286055;NA;NA;0;0;0.003643498;0;-0.010713903;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;-0.005676606;NA;NA;NA;NA;-0.002659574;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.006112469;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;-0.006896552;NA
1;2004;NA;NA;0.004255319;0;0;-0.003042813;NA;NA;0;NA;0;0;NA;0.300108342;NA;0;0;NA;NA;NA;NA;NA;0;NA;0;0;NA;-0.00621118;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;0;0;0;NA;0;NA;NA;0;0;0;0;0.010793834;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0.136429608;NA;NA;NA;NA;NA;-0.011418027;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.001215067;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA
1;2004;NA;NA;-0.004237288;0;0;0;NA;NA;0;NA;0;0.230769231;NA;-0.030833333;NA;0.02;0;NA;NA;NA;NA;NA;0;NA;0;0;NA;0.025;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;NA;NA;0;0;NA;NA;NA;0;NA;NA;NA;NA;0;0;NA;NA;NA;-0.003795721;NA;NA;NA;NA;NA;NA;0;0;0;NA;-0.001802301;NA;NA;0;0;0;0;-0.010678571;0;NA;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;-0.005716619;NA;NA;NA;NA;-0.006666667;0;NA;NA;NA;NA;NA;0;0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA
