MONTH;YEAR;MOL MAGYAR OLAJ-ES GAZIPARI;OTP BANK;RICHTER GEDEON;MAGYAR TKOM.TELECOM.;BUDAPEST ELECTRICITY;4IG NYILVANOSAN;ALLAMI NYOMDA;ALTEO ENERGY;ALTERA WEALTH MANAGEMENT;APPENINN NYILVANOSAN;BPT.PR.UTILIZATION&.DEV.;CIG PANNONIA LIFE IN.;CSEPEL HOLDING;DUNA HOUSE HOLDING;EHEP SHARE;ENEFI ENERGY;EST MEDIA;EXTERNET;FHB SHARE;FINEXT SHARE;FORRAS FORRAS/T;FUTURAQUA;GRAPHISOFT PARK SE SHARE;KARTONPACK;KEG CTL.EUR.LPG TERM.;KEY SOFT;KONZUM TRDG.&.INDL.;MASTERPLAST;NORDTELEKOM TELECOM.SX.;NTH.HUNGARIAN ELTY.SUPP.;NUTEX INVESTMENTS;OPMIUS GROUP;ORMESTER;OTT ONE;PANNERGY;PANNON VALTO;PLOTINUS HOLDING;RABA AUTOMOTIVE GP.;TR INVESTMENT;ZWACK UNICUM;ADIDAS (BUD);ARCELORMITTAL (BUD);AXA (BUD);BANCO SANTANDER (BUD);BASF (BUD);BAYER (BUD);BBV.ARGENTARIA (BUD);BMW (BUD);BNP PARIBAS (BUD);COMMERZBANK (BUD);DAIMLER (BUD);DEUTSCHE BANK (BUD);DEUTSCHE LUFTHANSA (BUD);E ON (BUD);INFINEON TECH 'N' (BUD);LINDE (BUD);NOKIA (BUD);SIEMENS (BUD);TELEFONICA (BUD);THYSSENKRUPP (BUD);TOTAL (BUD);ERWOJ.TURBO LONG 03 CKT.;ERWOJ.TURBO LONG 70 CKT.;FORRAS TRUST & INV.
1;2004;0;-0.008928571;-0.008434479;0;0.012162162;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;-0.031260854;NA;-0.00913242;NA;-0.009749304;NA;NA;0;NA;NA;0;NA;NA;0.015384615;-0.024096706;0.071428571;NA;NA;0.007462687;0;NA;-0.011235955;NA;-0.020408163;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.012903226
1;2004;0.00927357;0.003963964;0.012448133;-0.007453416;-0.027703605;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;-0.03225076;NA;-0.00921659;NA;0.019690577;NA;NA;0;NA;NA;-0.055555556;NA;NA;-0.014141414;0.024691694;-0.016666667;NA;NA;0.014814815;0.002083333;NA;-0.005681818;NA;0.041666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.004901961
1;2004;0.008422665;0.019382627;0.018237705;0.02252816;0.019567456;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;-0.016672517;NA;0;NA;-0.005517241;NA;NA;0;NA;NA;0.105882353;NA;NA;0;-0.036143582;0.016949153;NA;NA;0;0;NA;-0.017142857;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.004878049
1;2004;-0.003796507;0.007042254;0.003018716;0;0.003367003;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0.016955203;NA;-0.001162791;NA;0.006934813;NA;NA;0;NA;NA;0;NA;NA;0.045081967;0.125;0;NA;NA;-0.003649635;0.008316008;NA;0.046511628;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1;2004;-0.005335366;-0.024825175;-0.00882825;-0.008567931;-0.025838926;NA;NA;NA;NA;NA;0;NA;-0.454166667;NA;0;NA;0.016672517;NA;0.002328289;NA;0.005509642;NA;NA;0;NA;NA;0;NA;NA;-0.009803922;-0.100001226;-0.016666667;NA;NA;0.007326007;0.002061856;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1;2004;0.003831418;0.009680889;-0.007692308;0.00617284;0;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0.016379922;NA;0.056910569;NA;0.01369863;NA;NA;0;NA;NA;0;NA;NA;0.000990099;0.024691694;-0.016949153;NA;NA;0.04;0;NA;0;NA;0.013333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1;2004;0.001526718;0.020596591;0.01999184;0.011042945;0.029968998;NA;NA;NA;NA;NA;0.094619666;NA;0.183206107;NA;0;NA;-0.03225076;NA;-0.01978022;NA;0.145945946;NA;NA;0;NA;NA;0;NA;NA;-0.00098912;0;0.017241379;NA;NA;-0.003496503;0;NA;-0.027777778;NA;0.006578947;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.001633987
1;2004;0.00304878;-0.005219207;0.012;0.003640777;0;NA;NA;NA;NA;NA;0;NA;0.135483871;NA;0;NA;0.04999805;NA;0.053811659;NA;-0.069575472;NA;NA;0;NA;NA;0;NA;NA;0.000990099;0.012048353;0;NA;NA;-0.01754386;-0.002057613;NA;-0.005714286;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
1;2004;-0.000759878;0.012242043;-0.009881423;-0.00241838;-0.026755853;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0.079374512;NA;0;NA;-0.01774398;NA;NA;0;NA;NA;0;NA;NA;0;0;0;NA;NA;0;0;NA;0.017241379;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.003262643
1;2004;0.013688213;0.01935038;0.038323353;0.00969697;0;NA;NA;NA;NA;NA;0;NA;0;NA;0;NA;0.088231246;NA;-0.006382979;NA;-0.019354839;NA;NA;0;NA;NA;0;NA;NA;0.00098912;-0.011904918;0.050847458;NA;NA;-0.007142857;0;NA;0;NA;-0.019607843;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0
