MONTH;YEAR;ENERGIJOS SKIRSTYMO OPERATORIUS;TELIA LIETUVA;AGROWILL GROUP;AMBER GRID AB;APRANGA;GRIGISKES;GUBERNIJA;INVALDA;INVL BALTIC FARM;INVL TECHNOLOGY;K2 LT AB;KAUNO ENERGIJA;KLAIPEDOS NAFTA;LIETUVOS ENERGIJA;LINAS;LINAS AGRO GROUP;LITGRID;PANEVEZIO STATYBOS TTAS.;PIENO ZVAIGZDES;ROKISKIO SURIS;SIAULIU BANKAS;SNAIGE;UTENOS TRIKOTAZAS;VILKYSKIU PIENINE;VILNIAUS BALDU KOMBINATA;VILNIAUS DEGTINE;ZEMATIJOS PIENAS
6;2003;NA;0;NA;NA;0.1;0;0;0.05;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0.012658228;0;0;0.007440476;NA;-0.032258065;0;0
6;2003;NA;0;NA;NA;0;0;0;0;NA;NA;NA;0;-0.047619048;NA;0;NA;NA;0;0;0;0;0;0.0605613;NA;0.033333333;0.035714286;0
6;2003;NA;0;NA;NA;-0.090909091;0;0;0;NA;NA;NA;0;0.05;NA;0;NA;NA;0;0.055555556;0.0125;0;0;0;NA;0.013824885;0.068965517;0
6;2003;NA;0;NA;NA;0;0;0;0;NA;NA;NA;0;0;NA;0;NA;NA;0;0.026315789;-0.012345679;0;0;-0.055710306;NA;0.020454545;-0.032258065;0
6;2003;NA;0;NA;NA;0;0;0;-0.023809524;NA;NA;NA;0;0.047619048;NA;0;NA;NA;0;0;0;0;-0.00660066;0;NA;0;-0.033333333;-0.027777778
6;2003;NA;0;NA;NA;-0.1;-0.020833333;0;0;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0.0125;0;0;0;NA;0;-0.034482759;0
6;2003;NA;0.02173913;NA;NA;0;0.021276596;0;-0.024390244;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0.074074074;0;0;0;NA;0;0;0.085714286
6;2003;NA;0.021276596;NA;NA;0.088888889;-0.020833333;0;0.025;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0;0;0;-0.017699115;NA;0;0;0
6;2003;NA;0;NA;NA;0;0.021276596;0;0;NA;NA;NA;0;0.045454545;NA;0;NA;NA;0;0.025641026;0;0;-0.006644518;0;NA;0;0;-0.052631579
6;2003;NA;0.041666667;NA;NA;0;-0.041666667;0;-0.048780488;NA;NA;NA;0;0;NA;-0.058823529;NA;NA;0;0;-0.068965517;0;0;0;NA;-0.026726058;0;0
6;2003;NA;0;NA;NA;-0.081632653;0.043478261;0;0;NA;NA;NA;0;0;NA;0.0625;NA;NA;0;-0.025;0;0;-0.013377926;0;NA;0.006864989;0;0
6;2003;NA;0.04;NA;NA;0.088888889;0;0;0;NA;NA;NA;0;0;NA;-0.058823529;NA;NA;0;0;0;0;0.016949153;0;NA;-0.009090909;0;0
6;2003;NA;0;NA;NA;0;-0.020833333;0;0;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0;0;-0.016666667;0;NA;0.002293578;0;0.055555556
6;2003;NA;-0.019230769;NA;NA;0;0;0;0;NA;NA;NA;0;0;NA;0;NA;NA;0;0.025641026;0;0;-0.006779661;0.034534535;NA;-0.011441648;0;0
6;2003;NA;0.039215686;NA;NA;0;0;0;0.025641026;NA;NA;NA;0;0;NA;0;NA;NA;0;0.025;0;0;0.006825939;-0.015965167;NA;0.00462963;0;0
6;2003;NA;0;NA;NA;0;0;0;0.025;NA;NA;NA;0;0;NA;0;NA;NA;0;0;0.012345679;0.083333333;0.006779661;0;NA;0.034562212;0;0
