MONTH;YEAR;VENTSPILS NAFTA;BALTIC TELEKOM;DITTON PIEVADKELU;GRINDEKS;GROBINAS ZV;LATVIJAS BALZAMS;LATVIJAS GAZE;LATVIJAS KUG;OLAINES KIMISKI - FAR;RIGAS KUGU BUVETAVA;SAF TEHNNIKA;SALDUS MR;TALSU MR DEAD - DELIST.25/04/17;VALMIERAS STIKLA SKIEDRA
3;2004;-0.004545455;NA;0;0;0.114754098;0;-0.004823151;-0.028169014;0.037037037;0;NA;0;0;-0.01242236
3;2004;0.03652968;NA;0;0.031055901;0.073529412;0.011560694;0.008077544;0.014492754;0;0.006666667;NA;0;0;0.056603774
3;2004;0.066079295;NA;0.041666667;0.018072289;0.068493151;0;-0.001602564;0.014285714;0.017857143;0;NA;0;0;-0.011904762
3;2004;0.012396694;NA;0;0;-0.051282051;0;0.012841091;0;-0.01754386;0;NA;0;0;0
3;2004;-0.012244898;NA;0;-0.00591716;0.027027027;0;-0.011093502;0;0;0;NA;0;0;0
3;2004;-0.004132231;NA;0;0.011904762;0.092105263;0;-0.004807692;0;0;0;NA;0;0;0
3;2004;0.008298755;NA;0;0.035294118;0.469879518;0.005714286;0.00805153;0.028169014;-0.017857143;0.006622517;NA;0;0;0.024096386
3;2004;-0.004115226;NA;-0.04;-0.011363636;0.016393443;0.011363636;-0.004792332;0;0.018181818;-0.006578947;NA;0;0;-0.041176471
3;2004;0.020661157;NA;0.041666667;0.017241379;0;0.005617978;0.001605136;0;0.035714286;0;NA;0;0;0.042944785
3;2004;0.012145749;NA;-0.04;0;-0.379032258;-0.005586592;0;0;0;0;NA;0;0;0.129411765
3;2004;0.004;NA;0.020833333;0.056497175;0;0.016853933;0.003205128;0;-0.034482759;0.006622517;NA;0;0;-0.041666667
3;2004;0.003984064;NA;0.020408163;0.021390374;0;0.005524862;0.003194888;0;0;0.006578947;NA;0;0;0.027173913
3;2004;0.003968254;NA;-0.02;-0.010471204;0.233766234;0;0;0.02739726;0;0;NA;0;0;0.010582011
3;2004;0.003952569;NA;0.040816327;0;-0.031578947;0;0.00477707;0;0;0.013071895;NA;0;0;0.005235602
3;2004;0.023622047;NA;-0.019607843;0.058201058;-0.130434783;0.010989011;0;0.04;0.035714286;0.006451613;NA;0;0;-0.010416667
3;2004;0.026923077;NA;0;0.03;0;-0.005434783;-0.001584786;0.012820513;-0.017241379;-0.012820513;NA;0;0;0.005263158
3;2004;-0.02247191;NA;0;-0.009708738;-0.05;0;0;0.025316456;0;0.019480519;NA;0;0;-0.005235602
4;2004;0.003831418;NA;-0.02;-0.024509804;0;-0.005464481;-0.001587302;-0.024691358;-0.01754386;-0.012738854;NA;0;0;0
4;2004;0.007633588;NA;0;0.055276382;0.013157895;0.010989011;0.012718601;0.012658228;0.017857143;0.006451613;NA;0;0;0
4;2004;0.011363636;NA;0;-0.038095238;-0.077922078;0.005434783;-0.001569859;-0.0125;0;0.019230769;NA;0;0;-0.026315789
4;2004;-0.011235955;NA;0;0.004950495;-0.028169014;0;0.004716981;0.012658228;0;-0.012578616;NA;0;0;0
4;2004;0;NA;0;-0.004926108;0;-0.005405405;-0.009389671;0;0;-0.006369427;NA;0;0;-0.005405405
4;2004;0;NA;0;-0.004950495;0;0;0;-0.025;0;0.006410256;NA;0;0;0.032608696
4;2004;0;NA;0;0;0;0;0;0;0;0;NA;0;0;0
4;2004;0;NA;0;0;0;0;0;0;0;0;NA;0;0;0
4;2004;0.018939394;NA;0.020408163;0;0;0.010869565;0.025276461;0.012820513;-0.01754386;0.006369427;NA;0;0;0.015789474
4;2004;0;NA;-0.04;-0.004975124;0;-0.005376344;-0.004622496;0;-0.017857143;-0.006329114;NA;0;0;-0.005181347
4;2004;0;NA;0;0;0;0;-0.020123839;-0.012658228;0;0;NA;0;0;0.010416667
4;2004;-0.014869888;NA;0;-0.005;0;-0.005405405;0.001579779;0;0;-0.006369427;NA;0;0;-0.005154639
4;2004;-0.011320755;NA;0;0;0;0;0.001577287;-0.012820513;0;0;NA;0;0;-0.005181347
4;2004;0.011450382;NA;0;0.005025126;-0.057971014;0.005434783;0.004724409;0;0.036363636;0.006410256;NA;0;0;0
4;2004;-0.003773585;NA;0;0;-0.046153846;0.016216216;0;0;0;0;NA;0;0;0.026041667
4;2004;0.003787879;NA;0;0;0;0.010638298;0.021943574;0;0.035087719;0;NA;0.290502793;0;-0.015228426
4;2004;0.003773585;NA;0.020833333;0;0.129032258;-0.010526316;0;-0.012987013;-0.033898305;0.006369427;NA;0;0;0
4;2004;-0.007518797;NA;0;0;0;0.005319149;-0.018404908;0;0.035087719;0;NA;0;0;0.020618557
4;2004;0.003787879;NA;-0.06122449;0.01;-0.014285714;-0.005291005;0.009375;-0.013157895;-0.033898305;-0.006329114;NA;0;0;-0.005050505
4;2004;-0.011320755;NA;-0.065217391;0;0;0;0.001547988;0.013333333;0;0;NA;0;0;0
4;2004;-0.045801527;NA;-0.139534884;-0.004950495;0;0;-0.018547141;-0.026315789;-0.035087719;0.006369427;NA;0;0;-0.010152284
4;2004;0.04;NA;0;-0.004975124;0.014492754;-0.021276596;0;-0.013513514;0;0;NA;0;0;-0.005128205
5;2004;0;NA;0;0;0;0;0;0;0;0;NA;0;0;0
5;2004;0;NA;0;0;0;0;0;0;0;0;NA;0;0;0
5;2004;-0.061538462;NA;0.027027027;-0.01;0;-0.005434783;-0.006299213;-0.01369863;0;0;NA;0;0;0
5;2004;0.032786885;NA;0;0;0;0.010928962;-0.001584786;-0.027777778;0.018181818;0.03164557;NA;0;0;0
5;2004;-0.023809524;NA;0;0.01010101;-0.014285714;0.005405405;0.007936508;0.014285714;0.017857143;0.018404908;NA;0;0;0
5;2004;-0.004065041;NA;0;0.005;0;0.032258065;-0.001574803;0;0.01754386;0;NA;0;0;0.020618557
5;2004;0;NA;0;-0.009950249;0;0.020833333;0;0.014084507;0;0;NA;0;0;0.005050505
5;2004;0.004081633;NA;0;0.010050251;0;-0.020408163;0;0;0;-0.024096386;NA;0.32034632;0;0
5;2004;-0.008130081;NA;0;-0.009950249;0;0.020833333;-0.004731861;0;0.034482759;0;NA;0;0;0
5;2004;0.008196721;NA;0;0;0;-0.015306122;0.001584786;0;0;-0.00617284;NA;0;0;0
5;2004;-0.012195122;NA;0;-0.010050251;-0.144927536;-0.010362694;-0.007911392;-0.027777778;0;-0.01242236;NA;0;0;-0.010050251
5;2004;-0.016460905;NA;-0.131578947;0.020304569;0;0.005235602;0.020733652;0;0.016666667;0.006289308;NA;0;0;-0.025380711
5;2004;0.016736402;NA;0.060606061;0;0;0.015625;-0.015625;-0.028571429;0.016393443;-0.03125;NA;0;0;0.03125
5;2004;0.004115226;NA;-0.028571429;0.024875622;0;0.020512821;0;-0.014705882;0.016129032;0.012903226;NA;0;0;0.005050505
5;2004;0;NA;0;0;0;-0.020100503;0;0.029850746;0.015873016;-0.012738854;NA;0;0;-0.005025126
5;2004;0.004098361;NA;0;0;0;0.020512821;0.003174603;-0.028985507;-0.015625;0.006451613;NA;0;0;0.01010101
5;2004;-0.008163265;NA;0;-0.004854369;0;-0.040201005;-0.006329114;-0.029850746;0.015873016;-0.006410256;NA;0;0;0.01
5;2004;0;NA;0.088235294;-0.014634146;0;0.005235602;0.001592357;0;0;0;-0.024935065;0;0;0.024752475
5;2004;0.028806584;NA;0;0.01980198;0;-0.005208333;-0.004769475;0.030769231;0;-0.006451613;-0.006393181;0;0;-0.014492754
5;2004;-0.016;NA;-0.054054054;-0.004854369;0.203389831;0;0.015974441;0;0;0.006493506;0;0;0;0.024509804
5;2004;0.016260163;NA;0;0.048780488;0.070422535;0.015706806;-0.014150943;0;0;-0.012903226;0.011260054;0;0;0.052631579
6;2004;0;NA;0;0;0;-0.015463918;0;0;0;-0.026143791;0;0;0;0
6;2004;-0.032;NA;0;0;-0.026315789;-0.010471204;-0.001594896;0;0;-0.053691275;-0.002651113;0;0;0.004545455
6;2004;-0.004132231;NA;0;-0.004651163;0;0.037037037;-0.001597444;0.014925373;0.015625;0.007092199;-0.007974482;0;0;-0.009049774
6;2004;0.004149378;NA;0;0;0;0;0;-0.044117647;0.061538462;0;0;0;0;0.00456621
6;2004;-0.004132231;NA;-0.057142857;0;0;-0.025510204;0.0016;-0.030769231;-0.057971014;0.007042254;0.001607717;0;0;0
6;2004;0.004149378;NA;0;-0.004672897;-0.094594595;0.031413613;0.003194888;0.063492063;0.046153846;0.006993007;0;0;0;0.004545455
6;2004;0.008264463;NA;0.060606061;0.018779343;0;0.010152284;0;-0.014925373;-0.014705882;0.027777778;0;0;0;0.009049774
6;2004;0;NA;0;0;0;0;0.011146497;-0.03030303;0.044776119;-0.02027027;0;0;0;-0.004484305
6;2004;0.004098361;NA;-0.028571429;-0.013824885;0;0;0;0;0.028571429;0.027586207;0.01070091;0;0;0
6;2004;-0.004081633;NA;0;0.009345794;0;-0.030150754;-0.001574803;-0.078125;0;-0.026845638;0;0;0;-0.004504505
6;2004;0;NA;0;0.032407407;-0.089552239;0.025906736;0.001577287;-0.016949153;-0.027777778;-0.013793103;0;0;0;0.009049774
6;2004;0.004098361;NA;0;0.031390135;0;0.005050505;0.003149606;0;0;0;0;0;0;-0.022421525
6;2004;0;NA;0.029411765;0;0;0;-0.003139717;0.086206897;0.014285714;0.006993007;0.001058761;-0.144262295;0;0.018348624
6;2004;-0.004081633;NA;0;0.130434783;0;0;0;-0.031746032;0;0.041666667;-0.003701745;0;0;-0.022522523
