MONTH;YEAR;KRKA;PETROL;TELEKOM SLOVENIJE;ZAVAROVALNICA TRIGLAV;CETIS REDNE;CINKARNA REDNE;DATALAB TEHNOLOGIJE;DELO PRODAJA;GEA TOVARNA OLJA;GORENJE;GRAND HOTEL UNION;INLES RIBNICA REDNE;INTEREUROPA;ISTRABENZ;KD;KOMPAS MTS;KS NALOZBE;LUKA KOPER;M1 FINANCNA DRUZBA;MELAMIN REDNE;MERCATOR;MLINOTEST;NAMA;NIKA REDNE;POZAVAROVALNICA SAVA;SALUS REDNE SERIJA 'B';SIVENT;TERME CATEZ REDNE;TOPLICE DOBRNA;UNIOR KOVASKA;ZDRAVILISEE ROGASKA REDN
1;2004;0.001686341;-0.002157153;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.013333333;0.026841171;NA;NA;NA;-0.006781751;NA;NA;-0.000131874;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;2004;0.001683502;-0.001801513;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.001801802;-0.035428818;NA;NA;NA;-0.013035382;NA;NA;-0.019190187;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1;2004;0.007142857;0.000401059;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.011241007;0.028667413;NA;NA;NA;0.000314465;NA;NA;0.008807907;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;0.012515645;0.005251764;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.006669631;-0.01328108;NA;NA;NA;0.001571833;NA;NA;-0.002732605;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;0.000412031;0.006580259;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0.008164166;NA;NA;NA;0.023226616;NA;NA;0.002740092;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;-0.010708402;-0.014976228;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.002238138;-0.021886627;NA;NA;NA;-0.030368098;NA;NA;0.005331911;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;-0.013738551;-4.02E-01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.001794527;-0.00179011;NA;NA;NA;-0.000316356;NA;NA;-0.007159905;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;0.021105952;-0.001729617;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.001791312;-0.008294104;NA;NA;NA;0;NA;NA;-0.001201923;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;-0.007027697;-0.003424934;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.006258382;-0.007007233;NA;NA;NA;-0.014556962;NA;NA;-0.013972456;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;-0.01582015;-0.00849068;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.004498426;-0.039836103;NA;NA;NA;-0.012202954;NA;NA;-0.014373856;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;0.000423012;0.009990621;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.000447828;0.027501185;NA;NA;NA;-0.02763329;NA;NA;0.014170737;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;0.018604651;0.003391473;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.008512545;0.001153669;NA;NA;NA;0.028084253;NA;NA;0.00284881;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;0.00166044;0.008409786;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.006663705;-0.009910118;NA;NA;NA;-0.013658537;NA;NA;0.008454515;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;0.002072109;-0.003431627;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00353045;-0.019785847;NA;NA;NA;-0.000659413;NA;NA;-0.017035547;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;-0.002067825;0.003563564;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.008795075;-0.044170031;NA;NA;NA;-0.027713626;NA;NA;0.012349891;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;0.001243266;-0.000678264;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.009154316;-0.006459627;NA;NA;NA;0.001357313;NA;NA;-0.007076902;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;0;0.000558949;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.000439947;-0.052013003;NA;NA;NA;-0.001016605;NA;NA;0.003258213;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;0.00910596;-0.000478832;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.009674582;0.016090741;NA;NA;NA;-0.000339213;NA;NA;0.002638701;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;-0.01804758;-0.002754601;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.00044405;0.021547248;NA;NA;NA;-0.000339328;NA;NA;-0.008907484;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;0.002088555;0.005484388;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0.035069886;NA;NA;NA;-0.000339443;NA;NA;0.005515081;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;0.014172572;-0.008321057;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.009329187;0.001718635;NA;NA;NA;0;NA;NA;0.005484832;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;-0.007809289;0.004697286;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.009683099;0.020588235;NA;NA;NA;-0.01426146;NA;NA;-0.00585898;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;2004;0.004142502;-0.002717283;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.006222222;-0.001440922;NA;NA;NA;0.011367551;NA;NA;0.004809646;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;-0.001650165;0.00184317;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.007067138;0.010582011;NA;NA;NA;-0.003065395;NA;NA;0.004314704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;0.00661157;0.007959045;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.005782918;-0.008329367;NA;NA;NA;0.047488896;NA;NA;0.015036585;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;-0.000821018;-0.003094992;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.005816555;0.00311975;NA;NA;NA;-0.013372472;NA;NA;0.005753588;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;-0.001643385;0.003104601;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.003558719;-0.033492823;NA;NA;NA;-0.016859504;NA;NA;0.002630195;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;0.006995885;0.025434489;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.003546099;0.04009901;NA;NA;NA;-0.00672495;NA;NA;0.003082371;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;-0.003677973;-0.016135898;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.002224199;0;NA;NA;NA;-0.004062288;NA;NA;-0.005361229;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;-0.000410172;0.007905294;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.002219263;-0.007615421;NA;NA;NA;-0.006118287;NA;NA;-0.013803983;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;0.015182602;0.0034729;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0.017505995;NA;NA;NA;0.004445964;NA;NA;0.016463374;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;2004;0.00323363;0.002994245;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.014234875;0.018854584;NA;NA;NA;-0.001702417;NA;NA;0.004196721;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
