Month;Year;ERSTE GROUP BANK (PRA);VIENNA IN.GROUP (PRA);CENTRAL EUR.MEDIA (PRA);PHILIP MORRIS CR;CEZ;KOMERCNI BANKA;MONETA MONEY BANK;KOFOLA CESKOSLOVENSKO;UNIPETROL;TELF.O2 CZECH REPUBLIC;STOCK SPIRITS GROUP(PRA);PEGAS NONWOVENS;FORTUNA ENTM.GROUP
2;2004;0.003815181;NA;NA;0.015828889;0.002802848;0.016;NA;NA;0.005977011;0.072589846;NA;NA;NA
3;2004;-0.005975839;NA;NA;0.002569115;0.001006205;0.028757275;NA;NA;0.03503961;0.008509507;NA;NA;NA
3;2004;0.019411765;NA;NA;-0.005013648;-0.003462333;0.000998336;NA;NA;-0.015454813;-0.021094265;NA;NA;NA
3;2004;0.010190421;NA;NA;0.015900565;-0.005884001;-0.013297872;NA;NA;0;0.004579125;NA;NA;NA
3;2004;0.020700764;NA;NA;0.042435933;-0.011612176;0.006401617;NA;NA;-0.021677381;0.036868213;NA;NA;NA
3;2004;-0.013520622;NA;NA;0.037853555;0.04391468;0.000334784;NA;NA;0.010085575;-0.004137574;NA;NA;NA
3;2004;0.006852968;NA;NA;0.034078753;0.051518794;0.033801874;NA;NA;0.018003026;0.009218385;NA;NA;NA
3;2004;0.004191974;NA;NA;0.005172414;-0.009767756;0.000971188;NA;NA;0;-0.007719027;NA;NA;NA
3;2004;-0.003916376;NA;NA;0.000294046;-0.001836403;-0.032018111;NA;NA;-0.005201367;-0.021133152;NA;NA;NA
3;2004;-0.009947727;NA;NA;0.001910734;-0.01308873;-0.03307718;NA;NA;-0.020764864;-0.019072848;NA;NA;NA
3;2004;0.00291303;NA;NA;-0.028850856;0.006338216;0.009329648;NA;NA;-0.014645309;0.007696462;NA;NA;NA
3;2004;-0.008441404;NA;NA;-0.019637462;0.000793903;-0.008558713;NA;NA;-0.009908655;-0.001473938;NA;NA;NA
3;2004;-0.003982012;NA;NA;-0.003030303;-0.00814427;-0.003107735;NA;NA;-0.008756841;0;NA;NA;NA
3;2004;0.029628353;NA;NA;0.015661223;-0.002452679;0.018011777;NA;NA;0.008834201;0.013821793;NA;NA;NA
3;2004;-0.000781041;NA;NA;0.02028912;-0.011491795;0.04389248;NA;NA;-0.014229867;0.000661813;NA;NA;NA
3;2004;-0.008553498;NA;NA;0.017897092;0.018979128;0.000325945;NA;NA;-0.000793147;0.000793651;NA;NA;NA
3;2004;-0.013087354;NA;NA;0.01001221;-0.004828867;-0.012381883;NA;NA;-0.026512145;-0.021675919;NA;NA;NA
3;2004;0.027309246;NA;NA;-0.002659574;0.007998294;0.006268558;NA;NA;0.014350946;-0.001350986;NA;NA;NA
3;2004;0.054977283;NA;NA;-0.022642424;-0.002644943;0.016721311;NA;NA;0.013987138;-0.011093074;NA;NA;NA
3;2004;-0.010519333;NA;NA;0.000892946;0.004243131;0.02386327;NA;NA;0.012684319;0.006839945;NA;NA;NA
3;2004;-0.010631166;NA;NA;-0.026070579;0.001056301;-0.00503937;NA;NA;0.008611242;0.004755435;NA;NA;NA
3;2004;-0.007497042;NA;NA;-0.066259542;0.01229292;0.013928458;NA;NA;-0.017075442;0.005544287;NA;NA;NA
3;2004;-0.001766497;NA;NA;0.033464138;-0.001198728;0.014361536;NA;NA;0.016898294;0.032275417;NA;NA;NA
3;2004;0.004038649;NA;NA;0.00733045;-0.004539762;-0.014773777;NA;NA;-0.004503805;0.014721209;NA;NA;NA
