MONTH;YEAR;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B
1;2004;0;-0.184210526;0;0;0;-0.116833369;NA;-0.018181818;0;0;NA;NA;0;-0.048780488;-0.039548023;0;0;0;NA;-0.068965517;0;0;0;0;0;NA;0;0.021551724;-0.1;NA;0;0;0;NA;0;NA;NA;NA;0.0625;0;0;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;-0.067567568;NA;NA;NA;0;NA;0.090909091;0;0;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0.109589041;0;0;NA;0;0;NA;0;0;0;NA;NA;0;NA;0;0;NA;0;0;NA;0;NA;0;NA;0;0;0;0;NA;0;NA;NA;0;0.111111111;0;0;NA;0;0;NA;NA;0;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;0;NA;0.04964539;-0.025380711;0;-0.01144641;0;NA;0;0;0;NA;0;NA;NA;0;NA;0;0.097936058;0;0;-0.017660044;NA;0;NA;0;NA;0;NA;NA;0;0;0.029065744;NA;NA;NA;NA;NA;NA;NA;-0.054862843;NA;NA;NA;0;0;0;NA;0;0;0;0;0;0;NA;NA;0;0;0;NA;0;NA;0;NA;0;0;NA;-0.103395062;0;0;0;0;0.009615385;0
1;2004;0;0.096774194;0.028571429;0;0;-0.003614458;NA;0.086419753;0.05;0;NA;NA;0.020467836;0;0;0;0.071428571;0;NA;0;0;0;0;0;0;NA;0;0;0.166666667;NA;0;0;0;NA;0;NA;NA;NA;0.047058824;-0.058823529;0;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;0;NA;NA;NA;0.909090909;NA;0.027777778;0;-0.038461538;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0.012345679;0;0;NA;0;0;NA;0;0;0.111111111;NA;NA;0;NA;0;0;NA;0.149253731;0;NA;0.00243309;NA;0.153846154;NA;0;0;0;0;NA;0;NA;NA;0.0234375;0;0;0;NA;0;0;NA;NA;0;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;0;NA;0;-0.010416667;0;0.01;0;NA;0;0;0;NA;0;NA;NA;0;NA;-0.00108972;0;0;0;-0.005617978;NA;0;NA;0;NA;0;NA;NA;-0.035662148;0;0;NA;NA;NA;NA;NA;NA;NA;-0.031662269;NA;NA;NA;0;0;0.075846501;NA;0;0;0;0;0;0.071428571;NA;NA;0.033333333;0;0;NA;0;NA;0;NA;0;0;NA;0;0;0;0;0.03852459;0.038095238;0
1;2004;0;0.044117647;0;0;0;0;NA;0.015151515;0;0;NA;NA;0;0.042735043;0;0;0.066666667;0;NA;0.074074074;0.041666667;0;0;0;0;NA;0;0;0.047619048;NA;0;0;0;NA;0;NA;NA;NA;0.011235955;0.0625;0;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;0;NA;NA;NA;0;NA;0;0;0;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0.048780488;0;0;NA;0;0;NA;0;0;0;NA;NA;0;NA;0.277456647;0;NA;0;0;NA;0;NA;0;NA;0;0;0;0;NA;0;NA;NA;0.007633588;0.166666667;0;0;NA;0;-0.066666667;NA;NA;0.024193548;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;0;NA;-0.030405405;0.061842105;0;0;0;NA;0;0.024691358;0;NA;0;NA;NA;0;NA;0;0;0;0;-0.04519774;NA;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;0;0;NA;0;0;0;0;0;-0.066666667;NA;NA;0.032258065;0;0;NA;-0.086206897;NA;0;NA;0;0;NA;0.074010327;0;0;0;0;0;0
1;2004;0;-0.014084507;0;0;0;0.065296252;NA;-0.046641791;-0.047619048;0;NA;NA;0;0.049180328;0;0;0;0.008928571;NA;0;-0.04;0;0;0.023255814;0;NA;0;0;-0.045454545;NA;0;0;0;NA;0;NA;NA;NA;-0.055555556;0.058823529;0;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;0;NA;NA;NA;0;NA;0;0;0;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0.023255814;0;0;NA;0;0;NA;0;0;0;NA;NA;0;NA;0;0;NA;0;0;NA;0;NA;0;NA;0;0;0;0;NA;0;NA;NA;-0.015151515;-0.028571429;0;0;NA;0;0;NA;NA;0;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;0;NA;0;0;0;0.000521105;0;NA;0;-0.024096386;0;NA;0;NA;NA;0;NA;0;0;0;0;0.053254438;NA;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;0.095367847;NA;NA;NA;0;0;0;NA;0;0;0;0;0;0.071428571;NA;NA;0;0;0;NA;0;NA;0;NA;0;0;NA;-0.001602564;0;0;0;0;-0.009174312;0
1;2004;0;-0.028571429;0;0;0;-0.018388195;NA;-0.015655577;-0.033333333;0.009708738;NA;NA;0;-0.046875;0;0;-0.020833333;0.026548673;NA;-0.034482759;0;0;0;-0.068181818;0;NA;0;0;-0.047619048;NA;0;0;0;NA;0;NA;NA;NA;0.023529412;0.055555556;0;0;0;0;0;NA;0;0;0;NA;0;0;-0.013513514;NA;0;0.028985507;NA;NA;NA;0;NA;0;0;0;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;-0.022727273;0;0;NA;0;0;NA;0;0;0;NA;NA;0;NA;0;0;NA;0.064935065;0;NA;-0.002427184;NA;0;NA;0;0;0;0;NA;0;NA;NA;-0.023076923;0;0;0;NA;0;0;NA;NA;-0.023622047;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;0;NA;-0.017421603;-0.049566295;0;0;0;NA;0;0;0;NA;0;NA;NA;0;NA;0;0;0.052167964;0;0.014606742;NA;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;-0.001243781;NA;NA;NA;0;0;0;NA;0;0;0;0;0;0;NA;NA;0;0;0;NA;0;NA;0;NA;0;0;NA;-0.060995185;0;0;0;-0.000789266;-0.027777778;0
1;2004;0;-0.014705882;0;-0.46231386;0;0.006012951;NA;-0.015904573;0;-0.019230769;NA;NA;0;-0.024590164;0;0;0;0;NA;0;0;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;NA;NA;NA;-0.057471264;0.052631579;0;0;0;0;0;NA;0;0.081395349;0;NA;0;0;-0.123287671;NA;0;0;NA;NA;NA;0;NA;-0.081081081;0;0;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;0;0;NA;0;0;-0.083333333;NA;NA;0;NA;0;0;NA;-0.146341463;0;NA;0;NA;0;NA;0;0;0;0;NA;0;NA;NA;-0.023622047;0;0;0;NA;0;0;NA;NA;-0.032258065;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;0;NA;0;-0.020860495;0;0;0;NA;0;0;0;NA;0;NA;NA;0;NA;0;0;0;0;0;NA;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;0.00622665;NA;NA;NA;0;0;0;NA;0;0;0;0;0;0;NA;NA;-0.0625;0;0;NA;0.018867925;NA;0;NA;0;0;NA;-0.015384615;0;0;0;0;-0.019047619;-0.178571429
1;2004;0.025641026;0.032835821;0;0;0;0.01954023;NA;-0.034343434;0;0;NA;NA;0;-0.042016807;0;0;0;0;NA;0;0;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;NA;NA;NA;-0.06097561;0.15;0;0;0;0;0;NA;0;-0.053763441;0;NA;0;0;0;NA;0;0.014084507;NA;NA;NA;0;NA;0.029411765;0;0;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0.049382716;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;0;0;NA;0;0;0.090909091;NA;NA;0;NA;0;0;NA;0;0;NA;0;NA;0;NA;0;0;0;0;NA;0;NA;NA;0.016129032;0;-0.066666667;0;NA;0;0;NA;NA;0;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;0;NA;-0.021276596;0.011984021;0;0;0;NA;0;0;0;NA;0.098039216;NA;NA;0;NA;0;0.004423148;0;0;0;NA;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;0;0;0;NA;0;0;0;0;0;0;NA;NA;0;0;0;NA;0;NA;0;NA;0;0;NA;0;0;0;0;0;0;0
1;2004;0.025;-0.046242775;0;0;-0.055555556;-0.003382187;NA;-0.016736402;0;0;NA;NA;0;-0.00877193;0;0;0;-0.017241379;NA;0;0;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;NA;NA;NA;-0.038961039;0;0;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;0;NA;NA;NA;0;NA;0;0;0;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0.023529412;NA;NA;NA;NA;NA;NA;0;-0.034883721;0;0;NA;0;0;NA;0;0;0;NA;NA;0;NA;0;0;NA;-0.1;0;NA;0;NA;0;NA;0;0;0;0;NA;0;NA;NA;0;0;0;0;NA;0;0;NA;NA;0;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;0;NA;0.02173913;-0.011842105;0;0;0;NA;0;0;0;NA;0;NA;NA;0;NA;0;0;0;0;-0.022148394;NA;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;-0.006188119;NA;NA;NA;0;0;0;NA;0;0;0;-0.053846154;0;0;NA;NA;0;0;0;NA;0;NA;0;NA;0;0;NA;-0.067708333;0;0;-0.086956522;0;0;0
1;2004;0;-0.051515152;0.027777778;0;0;0.031674208;NA;0;0;0;NA;NA;0.00286533;0.008849558;0;0;-0.021276596;-0.01754386;NA;0;-0.041666667;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;0.055555556;NA;NA;NA;0;NA;0;0;0;NA;0;0;0;NA;NA;NA;-0.068965517;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;-0.076923077;0;NA;0;0;NA;0;0;0;NA;NA;0;NA;0;0;NA;0;0;NA;0;NA;0;NA;0;0;0;0;NA;0;NA;NA;0;0;0;0;NA;0;0;NA;NA;0;NA;0;0;0;-0.05;0;0;NA;0;-0.225641026;0;0;NA;0;NA;-0.031914894;-0.013315579;0;0;0;NA;0;0;0;NA;0;NA;NA;0;NA;0.010909091;0;0;0;0;NA;0;NA;0;NA;0;NA;NA;0.025735294;0;-0.033624748;NA;NA;NA;NA;NA;NA;NA;-0.03486924;NA;NA;NA;0;0;0;NA;0;0.104166667;0;0;0;0;NA;NA;0;-0.0625;0;NA;-0.018518519;NA;0;NA;0;0;NA;0;0;0;0;-0.050552923;0;0
1;2004;0;0.118210863;0;0;0;-0.002192982;NA;0;-0.051724138;0.009803922;NA;NA;0;-0.035087719;0;0;0.02173913;0.008928571;NA;0;0;0;0;0;0;NA;0;0;0;NA;0;0;0;NA;0;NA;NA;NA;-0.013513514;0;0;0;0;0;0;NA;0;-0.022727273;0;NA;0;0;0;NA;0;0.078947368;NA;NA;NA;0;NA;-0.028571429;0;0;NA;0;0;0;NA;NA;NA;0;0;NA;0;NA;0;NA;NA;NA;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;0;0;0;0;NA;0;0;NA;0;0;0.1;NA;NA;0;NA;0;0;NA;0;0;NA;0;NA;0;NA;0;0;0;0;NA;0;NA;NA;0;0;0;0;NA;0;0;NA;NA;-0.008333333;NA;0;0;0;0;0;0;NA;0;0;0;0;NA;0;NA;0.007326007;0.025641026;0;0;0;NA;0;0;0;NA;0;NA;NA;0;NA;0;0;0;0;-0.013590034;NA;0;NA;0.101449275;NA;0;NA;NA;0;0;0;NA;NA;NA;NA;NA;NA;NA;-0.024516129;NA;NA;NA;0;0;0;NA;0;0.018867925;0;0;0;0;NA;NA;0;0;0;NA;0;NA;0;NA;0;0;NA;0;0;0;0;0;-0.009708738;0
