MONTH;YEAR;CEZ;KOMERCNI BANKA;TELF.O2 CZECH REPUBLIC;UNIPETROL;MONETA MONEY BANK;PHILIP MORRIS CR;BOREALIS EXPLORATION;E4U;ENERGOAQUA;ENERGOCHEMICA;FORTUNA ENTM.GROUP;JACHYMOV;KOFOLA CESKOSLOVENSKO;PEGAS NONWOVENS;PRAZSKE SLUZBY;RM-S HOLDING;SAFETY REAL INVESTICNI FOND;TOMA;CENTRAL EUR.MEDIA (PRA);ERSTE GROUP BANK (PRA);NEW WORLD RES. (PRA);PHOTON ENERGY (PRA);STOCK SPIRITS GROUP(PRA);TATRY MOUNTAIN (PRA) RESORTS 6;VGP (WI) (PRA);VIENNA IN.GROUP (PRA)
2;2004;0.011442396;0.014738394;-0.002597403;-0.004354768;NA;-0.008929671;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0.006790123;NA;0.007706372;NA;NA;NA;NA;NA;NA
2;2004;-0.007434223;0.014887436;0.016203704;-0.00758128;NA;0.020692226;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.006502758;NA;NA;NA;NA;NA;NA
2;2004;0.017650124;0.003935599;-0.003274487;0.011311885;NA;0.029769877;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.015183962;NA;NA;NA;NA;NA;NA
2;2004;0.0128;0.016749822;0.005284959;0.000726322;NA;-0.007094295;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.004433427;NA;NA;NA;NA;NA;NA
2;2004;0.033491311;0.004907115;0.027280477;-0.003628974;NA;0.002977077;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.002491694;NA;NA;NA;NA;NA;NA
2;2004;0.048303271;0.013254273;0.002213001;-0.008595571;NA;0.059364797;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.001665279;NA;NA;NA;NA;NA;NA
2;2004;-0.005540974;-0.029948365;-0.014214739;-0.020720059;NA;-0.020453909;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.01682698;NA;NA;NA;NA;NA;NA
2;2004;-0.000351906;0.003193754;-0.00699986;-0.042617047;NA;-0.017963387;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0.238503985;NA;0.011678559;NA;NA;NA;NA;NA;NA
2;2004;-0.013494485;0.002122391;-0.003242634;-0.042476489;NA;0.003786555;NA;NA;0;NA;NA;0;NA;NA;0;-0.048780488;NA;0;NA;-0.003497755;NA;NA;NA;NA;NA;NA
2;2004;0.039431426;-0.015178256;0.004101839;0.022917008;NA;-0.009749869;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.005375098;NA;NA;NA;NA;NA;NA
2;2004;-0.011043085;-0.000716846;0.012677842;0.002400384;NA;0.012834789;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.004064757;NA;NA;NA;NA;NA;NA
2;2004;0.000289285;0.00251076;-0.011823619;-0.001596424;NA;0.007464414;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.000268971;NA;NA;NA;NA;NA;NA
2;2004;0.00954364;-0.001431127;-0.007460586;0.023345059;NA;-0.008040894;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.00353076;NA;NA;NA;NA;NA;NA
2;2004;-0.003380314;-0.002149767;-0.010920437;-0.0196875;NA;-0.007527068;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.014073349;NA;NA;NA;NA;NA;NA
2;2004;0.026099454;0.016517056;0.007743046;0.03187759;NA;0.038504171;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0.04950495;NA;0.007420712;NA;NA;NA;NA;NA;NA
2;2004;-0.000560255;0.015542211;-0.002276608;0.007877665;NA;-0.009830908;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.000821057;NA;NA;NA;NA;NA;NA
2;2004;0.002802848;0.016;0.072589846;0.005977011;NA;0.015828889;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.003815181;NA;NA;NA;NA;NA;NA
3;2004;0.001006205;0.028757275;0.008509507;0.03503961;NA;0.002569115;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.005975839;NA;NA;NA;NA;NA;NA
3;2004;-0.003462333;0.000998336;-0.021094265;-0.015454813;NA;-0.005013648;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.019411765;NA;NA;NA;NA;NA;NA
3;2004;-0.005884001;-0.013297872;0.004579125;0;NA;0.015900565;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.010190421;NA;NA;NA;NA;NA;NA
3;2004;-0.011612176;0.006401617;0.036868213;-0.021677381;NA;0.042435933;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;0.020700764;NA;NA;NA;NA;NA;NA
3;2004;0.04391468;0.000334784;-0.004137574;0.010085575;NA;0.037853555;NA;NA;0;NA;NA;0;NA;NA;0;0;NA;0;NA;-0.013520622;NA;NA;NA;NA;NA;NA
