Month;Year;ARCA CONTINENTAL;ALFA 'A';ALPEK DE CV;ALSEA DE CV;AMERICA MOVIL 'L';GRUPO AEROPORTUARIO DEL SURESTE 'B';GRUPO BIMBO 'A';BOLSA MEXICANA DE VALORES;CEMEX CPO;GRUPO ELEKTRA;FOMENTO ECONOMICO MEXICANO;GRUPO AEROPORTUARIO DEL PACIFICO;GRUPO CARSO SERIES A1;GENTERA;GRUPO FINANCIERO INBURSA SRIES 'O';GPO FINANCE BANORTE;BANREGIO GRUPO FINANCIERO;GRUPO MEXICO 'B';GRUMA;INFRAESTRUCTURA ENERGETICA NOVA;KIMBERLY-CLARK DE MEXICO 'A';COCA-COLA FEMSA 'L';GENOMMA LAB INTERNATIONAL;GRUPO LALA;EL PUERTO DE LIVERPOOL C1;MEXICHEM DE CV;NEMAK;OHL MEXICO;GRUPO AEROPORTUARIO DEL CENTRO NORTE 'B';INDUST PENOLES;PROMOTORA Y OPRD. INFRE.;GRUPO FINANCIERO SANTANDER MEXICO 'B';GRUPO TELEVISA;CONTROLADORA VUELA COMPANIA DE AVIACION;WALMART DE MEXICO 'V'
1;2004;0.022054556;0.018421053;NA;0;0.010600707;-0.010369702;-0.007155635;NA;-0.013297872;-0.008461538;-0.015604681;NA;0;NA;0.030991736;0.003102378;NA;-0.029411765;0.005627462;NA;0;-0.009857612;NA;NA;0;0;NA;NA;NA;-0.014480588;0;0;-0.025651466;NA;-0.012790698
1;2004;0;0.002583979;NA;0;0.006993007;0;-0.009009009;NA;0.00359389;-0.03394104;0.030383091;NA;0.008417508;NA;0.038076152;0.009278351;NA;0.051515152;0.015109121;NA;-0.004136505;0;NA;NA;0.007462687;0;NA;NA;NA;0.001916525;0;0;0.003760969;NA;0.011778563
1;2004;0.003407155;0.015463918;NA;0.019083969;0;-0.006833713;0;NA;0.007162041;0.059425818;0;NA;0.01836394;NA;0.017374517;-0.035750766;NA;0.017291066;-0.009371555;NA;0.024922118;-0.004424779;NA;NA;0;0;NA;NA;NA;0.026567481;0;0;-0.002497918;NA;0.001164144
1;2004;-0.003961517;-0.020304569;NA;0.007490637;-0.03125;0;-0.012727273;NA;-0.012444444;0.025393216;-0.019230769;NA;0.039344262;NA;0.011385199;-0.01059322;NA;0.019830028;0.013912076;NA;0.002026342;0;NA;NA;0.000740741;0;NA;NA;NA;0.006004141;0;0;-0.02754591;NA;-0.001162791
1;2004;-0.027840909;0.002590674;NA;0;-0.010752688;0;0;NA;0.00450045;-0.002032896;-0.015686275;NA;0;NA;0.003752345;-0.004282655;NA;-0.016666667;-0.024698134;NA;-0.004044489;-0.042592593;NA;NA;0;-0.006944444;NA;NA;NA;-0.022638403;0;0;-0.017167382;NA;-0.016298021
1;2004;0.032729398;-0.007751938;NA;-0.003717472;0.003623188;-0.010091743;-0.018416206;NA;-0.004480287;0.035555556;0.009296149;NA;-0.012618297;NA;-0.026168224;0.009677419;NA;-0.008474576;-0.005627462;NA;-0.008121827;0.02205029;NA;NA;0;0.006993007;NA;NA;NA;-0.041903559;0;0;-0.017467249;NA;-0.001183432
2;2004;0.011318619;0.005208333;NA;0;0.018050542;0.003243744;0.037523452;NA;0.00720072;0.041666667;0.042105263;NA;0.006389776;NA;0.030710173;0.071352503;NA;0.062678063;0.028296548;NA;0.006141249;0.00984103;NA;NA;0;0;NA;NA;NA;-0.023516484;0;0;0.026666667;NA;0.016587678
2;2004;-0.006715165;0;NA;0.02238806;0.003546099;0.006928406;-0.005424955;NA;0;0.021630901;0.001893939;NA;0.00952381;NA;-0.005586592;0.030815109;NA;-0.00536193;-0.005503577;NA;-0.003051882;0.011994003;NA;NA;0;0;NA;NA;NA;-0.022957461;0;-0.046224961;0.006493506;NA;0.032634033
2;2004;-0.005070423;0.002590674;NA;0.04379562;0.007067138;0.009174312;-0.012727273;NA;-0.00178731;-0.005713325;-0.008191556;NA;0.004716981;NA;-0.031835206;-0.008678881;NA;0.005390836;-0.003320421;NA;-0.005102041;-0.014814815;NA;NA;0.043671355;0;NA;NA;NA;-0.020502188;0;0;0.003010753;NA;0.005643341
2;2004;0;0;NA;0;0;0;0;NA;0;0;0;NA;0;NA;0;0;NA;0;0;NA;0;0;NA;NA;0;0;NA;NA;NA;0;0;0;0;NA;0
