MONTH;YEAR;ECOPETROL;BANCO DE BOGOTA;BANCOLOMBIA;EMPRESA DE ENERGIA DE BOGOTA;GRUPO AVAL ACCIONES Y VALORES;GRUPO DE INVERSIONES SURAMERICANA;CEMENTOS ARGOS;GRUPO NACIONAL DE CHOCOLATES;INTERCONEXION ELECTRICA;INVERSIONES ARGOS;ISAGEN;ALMACENES EXITO;BANCO DE OCCIDENTE;CEMEX LATAM HOLDING(BOG);CORPORACION FINANCIERA COLOMBIANA;PROMIGAS;ASDF.DE PNSI.Y CESA. PRCN.;BANCO COMERCIAL AV VILLAS;BANCO POPULAR;BBV.ARGT.CLOMB.;CELSIA ESP;EMPRESA DE ENERGIA DEL PACIFICO;EMSA.DE TC.DE BOGOTA;GAS NATURAL;ORGANIZACION DE INGENIERIA INTERNACIONAL;ORGANIZACION TERPEL;PRODUCTOS FAMILIA;SOCIEDADES BOLIVAR;ACERIAS PAZ DEL RIO;AGROGUACHAL;ALIMENTOS DERIVADOS DE LA CANA;BIOMAX BIOCOMBUSTIBLES;BOLSA DE VALORES DE COLOMBIA;BOLSA NACIONAL AGROPECUARIA;CARTON DE COLOMBIA;CLINICA DE MARLY;COLOMBINA;COLTEJER;COMPANIA AGRICOLA SAN FELIPE;COMPANIA DE ELECTRICIDAD DE TULUA;COMPANIA DE EMPAQUES;CONCONCRETO;CONSTRUCCIONES CIVILES;CONSTRUCCIONES EL CONDOR;COOMEVA ENTIDAD PROMOTORA DE SALUD;CORPORACION DE FERIAS Y EXPOCISIONES;EDATEL;ENKA DE COLOMBIA;F GAN CALDAS;FOGANSA;FONDO GANADERO DE TOLIMA;INDUSTRIAS ESTRA;INGENIO CENTRAL CASTILLA;INVERSIONES EQUIPOS Y SERVICIOS;INVERSIONES VENECIA;MANUFACTURAS DE CEMENTO;MAYAGUEZ;MINEROS;RIOPAILA CASTILLA;TABLEMAC;TEXTILES FABRICATO TEJICONDOR;VALOREM;VALORES INDUSTRIALES;VALORES SIMESA;ALPHABET 'A' (BOG);AMAZON COM (BOG);APPLE (BOG);BANK OF AMERICA (BOG);CANACOL ENERGY (BOG);CITIGROUP (BOG);COLGATE-PALMOLIVE (BOG);FACEBOOK 'A' (BOG);GENERAL ELECTRIC (BOG);GRAN TIERRA ENERGY (BOG);JOHNSON & JOHNSON (BOG);JPMORGAN CHASE (BOG);MICROSOFT (BOG);PACIFIC EXP.& PRDN.(BOG);PFIZER (BOG);PROCTER & GAMBLE (BOG);TECNOGLASS (BOG);WALMART STORES (BOG);BANCO BILBAO VIZCAYA ARGENTARIA;CORPORACION FINANCIERA COLOMBIANA;CORPORACION FINANCIERA COLOMBIANA;CORPORACION FINANCIERA COLOMBIANA;ORGANIZACION DE INGENIERIA INTERNACIONAL;PROMIGAS ESP;SDEXITO
1;2004;NA;0.005348123;0.028707143;NA;0;0.024137336;0.00446182;0.001177014;0;-0.003448276;NA;0.014704759;0;NA;0;0;NA;0;0;0;0.011264368;NA;0;0;NA;NA;0;0;-0.003610108;0;0;NA;NA;NA;0;0;0;0.014493056;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0.017857143;0;-0.008403361;0.019607843;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
1;2004;NA;-0.005319673;0.004650227;NA;0;0.030303927;0;0;0.014634146;0;NA;0;0.000483871;NA;0;0;NA;0;0;0;0.022959764;NA;0;0;NA;NA;0;0;-0.003623188;0;0;NA;NA;NA;0;0;0;0.014286008;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;0;0;0.015384615;0;0;-0.000670691;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
1;2004;NA;0;0.02314817;NA;-0.005376344;0.013072516;0.04000378;0.034076716;0.013461538;0;NA;0.014491663;0.015637595;NA;0;0;NA;0;0;0;0.022222222;NA;0;0;NA;NA;0;0;0.014545455;0;0;NA;NA;NA;0;0;0;-0.014084793;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;0;0;0.018939394;0.020833333;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
1;2004;NA;0.020428323;0.013576494;NA;-0.005405405;0.021504931;0.068379528;0.029545382;0.043643264;0;NA;0.042856931;0.015873016;NA;0;0;NA;0;0;0;0.04326087;NA;0;0;NA;NA;0;0;0.010752688;0;0;NA;NA;NA;0;0;0;0;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;0;0.050847458;0.003717472;0.020408163;0;-0.006711409;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
1;2004;NA;0.037626993;-0.006026803;NA;0.005434783;0.003998659;0.039993195;0.012693468;0.033636364;0.017301038;NA;0;0.0078125;NA;0;0;NA;0;0;0.1;0.012710981;NA;0;0;NA;NA;0;0;0.010638298;0;0;NA;NA;NA;0;0;0;-0.005714575;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;0;0.080645161;-0.018518519;0.04;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
1;2004;NA;0.020201979;0.010553792;NA;0;0.021178872;0.026923134;0.024522419;0.033421284;0.088435374;NA;0;0.007751938;NA;0;0;NA;0;0;0;0.018518519;NA;0;0;NA;NA;0;0;0.035087719;0;0;NA;NA;NA;0;0;0;0;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0.00877193;0;0;0;0;0;0.047297297;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
1;2004;NA;-0.001980393;-0.022222222;NA;-0.005405405;-0.014371981;-0.026217283;0;-0.029787234;-0.0625;NA;0;0.022923077;NA;0;0;NA;0;0;0;-0.036363636;NA;0;0;NA;NA;0;0;0.016949153;0;0;NA;NA;NA;0;0;0;0;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0;0;0;0;0.019230769;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
1;2004;NA;0.003968646;0.005683534;NA;0.010869565;0.003124617;0;0.009576755;-0.003508772;0.002666667;NA;-0.013697617;0.030380508;NA;0;0;NA;0;0;0;0.012578616;NA;0;0;NA;NA;0;0;-0.003333333;0;0;NA;NA;NA;0;0;0;0;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;-0.008695652;0;0;-0.00754717;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
1;2004;NA;0.006916683;0.016947418;NA;0;0.038006221;0.015391021;0.001578157;0.035211268;0.018617021;NA;0.013887847;0.000583856;NA;0;0;NA;0;0;0;0.076604555;NA;0;0;NA;NA;0;0;0.003344482;0;0;NA;NA;NA;-0.02020202;0;0;0;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0.00877193;0;0;-0.015209125;0.037735849;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
1;2004;NA;0.0206085;0.022222222;NA;0.021505376;0.000600573;0.015150406;-0.026826634;0.033163265;0.005874674;NA;0.038358448;0.003646973;NA;0;0;NA;0;0;0;0.019230769;NA;0;0;NA;NA;0;0;0.016666667;0;0;NA;NA;NA;0;0;0;0;NA;NA;0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;0;0;0;0;NA;0.008695652;0;-0.007462687;0.011583012;0.036363636;0;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;0
