MONTH;YEAR;TALLINK GROUP;ARCO VARA;BALTIKA;EKSPRESS GRUPP;HARJU ELEKTER;LHV GROUP;LINDA;MERKO EHITUS;NORDECON;OLYMPIC ENTM.GROUP
4;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
4;2004;NA;NA;0.066666667;NA;0.003745318;NA;NA;NA;NA;NA
4;2004;NA;NA;0;NA;-0.048507463;NA;NA;NA;NA;NA
4;2004;NA;NA;0;NA;0.019607843;NA;NA;NA;NA;NA
4;2004;NA;NA;0;NA;-0.023076923;NA;NA;NA;NA;NA
4;2004;NA;NA;0;NA;0.015748031;NA;NA;NA;NA;NA
4;2004;NA;NA;0;NA;0.007751938;NA;NA;NA;NA;NA
4;2004;NA;NA;-0.0625;NA;-0.019230769;NA;NA;NA;NA;NA
4;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
4;2004;NA;NA;0.066666667;NA;0.019607843;NA;NA;NA;NA;NA
4;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
4;2004;NA;NA;-0.0625;NA;0;NA;NA;NA;NA;NA
4;2004;NA;NA;0.044444444;NA;0.011538462;NA;NA;NA;NA;NA
4;2004;NA;NA;0.021276596;NA;-0.045627376;NA;NA;NA;NA;NA
4;2004;NA;NA;-0.020833333;NA;-0.023904382;NA;NA;NA;NA;NA
4;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
5;2004;NA;NA;0;NA;-0.024489796;NA;NA;NA;NA;NA
5;2004;NA;NA;0;NA;0.058577406;NA;NA;NA;NA;NA
5;2004;NA;NA;0;NA;0.019762846;NA;NA;NA;NA;NA
5;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
5;2004;NA;NA;0;NA;-0.069767442;NA;NA;NA;NA;NA
5;2004;NA;NA;0;NA;-0.025;NA;NA;NA;NA;NA
5;2004;NA;NA;0;NA;0.038461538;NA;NA;NA;NA;NA
5;2004;NA;NA;0.021276596;NA;0;NA;NA;NA;NA;NA
5;2004;NA;NA;0.020833333;NA;0;NA;NA;NA;NA;NA
5;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
5;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
5;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
5;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
5;2004;NA;NA;0;NA;-0.037037037;NA;NA;NA;NA;NA
5;2004;NA;NA;0.040816327;NA;0;NA;NA;NA;NA;NA
5;2004;NA;NA;-0.078431373;NA;0;NA;NA;NA;NA;NA
5;2004;NA;NA;0.14893617;NA;0.012820513;NA;NA;NA;NA;NA
5;2004;NA;NA;-0.092592593;NA;0;NA;NA;NA;NA;NA
5;2004;NA;NA;0;NA;-0.012658228;NA;NA;NA;NA;NA
5;2004;NA;NA;0;NA;-0.017094017;NA;NA;NA;NA;NA
5;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
6;2004;NA;NA;0;NA;-0.013043478;NA;NA;NA;NA;NA
6;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
6;2004;NA;NA;0.020408163;NA;0;NA;NA;NA;NA;NA
6;2004;NA;NA;0.04;NA;0.013215859;NA;NA;NA;NA;NA
6;2004;NA;NA;0;NA;-0.034782609;NA;NA;NA;NA;NA
6;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
6;2004;NA;NA;-0.019230769;NA;0.009009009;NA;NA;NA;NA;NA
6;2004;NA;NA;0.019607843;NA;0.013392857;NA;NA;NA;NA;NA
6;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
6;2004;NA;NA;0;NA;-0.035242291;NA;NA;NA;NA;NA
6;2004;NA;NA;0;NA;-0.00456621;NA;NA;NA;NA;NA
6;2004;NA;NA;0.057692308;NA;0;NA;NA;NA;NA;NA
6;2004;NA;NA;-0.036363636;NA;0.064220183;NA;NA;NA;NA;NA
6;2004;NA;NA;-0.018867925;NA;0;NA;NA;NA;NA;NA
6;2004;NA;NA;0.019230769;NA;0.00862069;NA;NA;NA;NA;NA
6;2004;NA;NA;0.037735849;NA;-0.008547009;NA;NA;NA;NA;NA
6;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
6;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
6;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
6;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
6;2004;NA;NA;0;NA;-0.00862069;NA;NA;NA;NA;NA
6;2004;NA;NA;0;NA;-0.013043478;NA;NA;NA;NA;NA
7;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
7;2004;NA;NA;0.036363636;NA;0;NA;NA;NA;NA;NA
7;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
7;2004;NA;NA;-0.105263158;NA;0;NA;NA;NA;NA;NA
7;2004;NA;NA;0.137254902;NA;0;NA;NA;NA;NA;NA
7;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
7;2004;NA;NA;0;NA;0.013215859;NA;NA;NA;NA;NA
7;2004;NA;NA;0;NA;-0.026086957;NA;NA;NA;NA;NA
7;2004;NA;NA;0.034482759;NA;0.044642857;NA;NA;NA;NA;NA
7;2004;NA;NA;-0.083333333;NA;0;NA;NA;NA;NA;NA
7;2004;NA;NA;0;NA;-0.02991453;NA;NA;NA;NA;NA
7;2004;NA;NA;0;NA;-0.004405286;NA;NA;NA;NA;NA
7;2004;NA;NA;0.072727273;NA;0;NA;NA;NA;NA;NA
7;2004;NA;NA;0;NA;-0.008849558;NA;NA;NA;NA;NA
7;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
7;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
7;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
7;2004;NA;NA;-0.050847458;NA;0.044642857;NA;NA;NA;NA;NA
7;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
7;2004;NA;NA;0;NA;-0.042735043;NA;NA;NA;NA;NA
7;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
7;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
8;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
8;2004;NA;NA;0;NA;0.035714286;NA;NA;NA;NA;NA
8;2004;NA;NA;0;NA;-0.012931034;NA;NA;NA;NA;NA
8;2004;NA;NA;-0.071428571;NA;0;NA;NA;NA;NA;NA
8;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
8;2004;NA;NA;-0.038461538;NA;-0.043668122;NA;NA;NA;NA;NA
8;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
8;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
8;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
8;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
8;2004;NA;NA;0.04;NA;0;NA;NA;NA;NA;NA
8;2004;NA;NA;-0.038461538;NA;0.050228311;NA;NA;NA;NA;NA
8;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
8;2004;NA;NA;0;NA;-0.026086957;NA;NA;NA;NA;NA
8;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
8;2004;NA;NA;0.1;NA;0;NA;NA;NA;NA;NA
8;2004;NA;NA;-0.018181818;NA;0;NA;NA;NA;NA;NA
8;2004;NA;NA;0;NA;0;NA;NA;NA;NA;NA
8;2004;NA;NA;-0.018518519;NA;-0.013392857;NA;NA;NA;NA;NA
8;2004;NA;NA;0;NA;0.009049774;NA;NA;NA;NA;NA
8;2004;NA;NA;0;NA;0.01793722;NA;NA;NA;NA;NA
8;2004;NA;NA;-0.056603774;NA;-0.004405286;NA;NA;NA;NA;NA
