Month;Year;AES GENER;AFP PROVIDA;AGENCIAS UNIVERS;AGUAS ANDINAS;ALMENDRAL;ANDROMACO;ANTAR CHILE;AUSTRALIS SEAFOODS;AZUL AZUL SHARES;BANCO DE CHILE;BANCO DE CREDITO E INVERSION;BANCO SANTANDER CHILE;BANMEDICA;BANVIDA;BESALCO;BLANCO Y NEGRO;BLUMAR;BUPA CHILE DEAD - DELIST.26/10/16;CAMPOS CHILENOS;CAP;CEM;CEMENTOS BIO BIO;CENCOSUD;CIA GNL ELECTRIC DEAD - DELIST.03/10/16;CINTAC;COCA-COLA EMBONOR PREF.;COCA-COLA EMBONOR SERIES B PREF.;COLBUN MACHICURA;COMPANIA AGROPECUARIA COPEVAL;COMPANIA CERVECERIAS UNIDAS;COMPANIA CHILENA DE NAVIGACION INTEROCEANICA;COMPANIA PESQUERA CAMANCHACA;COMPANIA SUDAMERICANA DE VAPORES;COMPANIAS CIC;CRISTALERIAS DE CHILE;CRUZADOS SADP;CTI;CURAUMA;DETROIT DIESEL DEAD - DELIST.18/11/16;EDELPA;ELECTROMETALRGCA;EMBOTELLADORA ANDINA SERIES A;EMBOTELLADORA ANDINA SERIES B PREF.;EMPRESA NACIONAL DE TELECOMUNICACIONES;EMPRESAS AQUACHILE;EMPRESAS CMPC;EMPRESAS COPEC;EMPRESAS IANSA;EMPRESAS TATTERSALL DEAD - DELIST.29/12/16;ENEL AMERICAS;ENEL GENERACION CHILE;ENGIE ENERGIA CHILE;ENJOY;EPERVA;ESVAL 'C';FONDOS HABITAT;FORESTAL CONST;FORUS;FOSFOROS;GASCO;GRUPO EMPRESAS NAVIERAS;GRUPO SECURITY;HIPERMARC;HITES;INDIVER DEAD - DELIST.12/01/17;INSTITUTO DE DIAGNOSTICO;INVERCAP;INVERSIONES AGUAS METROPOLITANAS;INVERTEC PESQUERA MAR DE CHILOE;INVEXANS;ITAU CORPBANCA;LAS CONDES;LATAM AIRLINES GROUP;MARINSA;MASISA;MIN VALPARAISO;MOLYMET;MULTIEXPORT FOODS;NACL EXPLOSIVOS;NORTE GRANDE;ORO BLANCO;PACIFICO V REGION;PARQUE ARAUCO;PAZ;PEHUENCHE;PILMAIQUEN DEAD - DELIST.13/04/16;POLPAICO;QUINENCO;RIPLEY CORPORATION;SACI FALABELLA;SALFA CORPORATION;SCHWAGER ENERGY;SIGDO KOPPERS;SOCIEDAD MATRIZ BANCO DE CHILE A;SOCIEDAD MATRIZ BANCO DE CHILE B;SOCIEDAD MATRIZ BANCO DE CHILE D PREF.;SOCIEDAD MATRIZ BANCO DE CHILE E PREF.;SOCIEDAD PUNTA DEL COBRE A PREF.;SOCIEDAD QUIMICA Y MINERA DE CHILE A PREF.;SOCIEDAD QUIMICA Y MINERA DE CHILE B PREF.;SOCOVESA;SONDA;SOQUICOM;VENTANAS;VINA CONCHA Y TORO;VINA SAN PEDRO;VOLCAN;WALMART CHILE DEAD - DELIST.27/10/16;ZONA FRANCA
1;2004;-0.018878998;0.00462963;0;0;-0.026570048;NA;-0.002678571;NA;NA;0.008081667;-0.000112349;-0.005633803;0;0.019417476;-0.000151699;NA;0;NA;0;-0.010600707;0;-0.005291005;NA;0;0;0;0;-0.009615385;NA;-0.022140373;0;NA;0;0;-0.027027027;NA;-0.033333333;0;0;0;0;0.004484305;0;-0.027396722;NA;-0.004243131;-0.021864212;-0.021499738;0;0.005629272;0;0;NA;0;NA;0;0;NA;0;-0.006214803;0;0;0;NA;0;0;0;NA;NA;-0.010042112;0;0;0.002250429;0;0;0;0;NA;0;0;0;0;0;NA;0;0;0;0;NA;0.009670806;NA;0;NA;0;0.00034002;0;0;0;0;0;NA;NA;0;0;-0.007100688;0;0;-0.000165902;0
1;2004;-0.019242273;0.00921659;0;-0.000574713;0;NA;-0.009829902;NA;NA;-0.008438819;-0.011125131;-0.001416431;0;0.004761905;-0.000151722;NA;0;NA;0;0;-0.00014861;0.005319149;NA;0;0.017094017;0;0;-0.015959569;NA;0.003395293;0;NA;-0.006796885;0;0.007407407;NA;0;0;0;0;0;0.008928571;0.013274336;-0.017774664;NA;-0.004421008;-0.011764706;0;0;-0.017393043;-0.028667185;0;NA;-0.000416667;NA;0;0;NA;0;0;0;0;-0.115384615;NA;0;0;0;NA;NA;0.010143979;0;0;0;0;-0.016388467;0;0;NA;0;0;0;0;-0.007173913;NA;0;0;0;-0.018862005;NA;0;NA;0;NA;0;0;0;0;0.037037037;0;-0.004081633;NA;NA;0;0;0;0.018518519;0;-0.013550885;0.013157895
1;2004;-0.004981193;-0.001917808;0;0;0;NA;-0.001826368;NA;NA;-0.014042553;0.011363918;-0.007801418;0.02;-0.023696682;0;NA;0;NA;0;-0.007142857;0;0;NA;0;0;0;0;-0.006622517;NA;-0.01090676;0;NA;-0.006843399;0;0;NA;0;0;0;0;0;0;-0.004253275;-0.010581871;NA;-0.012653149;0;-0.001071811;0;0;0.002094886;0.003067485;NA;0;NA;0;0;NA;0;-0.03125;0;0;-0.130434783;NA;0;0;0;NA;NA;-0.003239391;0;0;-0.006726511;0;0;0;0;NA;0;0;0;0;-0.010765638;NA;0;0;0;-0.01922462;NA;0.009568599;NA;0;NA;0;-0.000339905;0;0.008797654;0;0.021276596;-0.004098361;NA;NA;0.031034483;-0.054263566;0;0.018181818;0;-0.000112139;0
1;2004;0;0;0;-0.005175388;0;NA;-0.009057971;NA;NA;0.010789814;0;0.000714796;0;0;0;NA;0;NA;0;0;0;0;NA;-0.001724138;0;0;0;0.001496599;NA;-0.011408868;0;NA;0;0;-0.001838235;NA;0;0;0;0;0;-8.84956E-05;-0.008884952;-0.014492453;NA;-0.030299746;-0.007142857;-0.021459227;0;0.006103764;0.005349238;0.009174312;NA;0;NA;0;-0.012195122;NA;0;-0.048387097;0;0;0;NA;0;0;0;NA;NA;-0.006824829;0;0;-0.006772064;0;0;0;0;NA;0;0;0;0;-0.018187184;NA;0;0.058823529;0;0;NA;-0.004743698;NA;0;NA;0;-0.015640938;-0.035138487;0;0;0;-0.016460905;NA;NA;0;0;-0.01019595;0.017857143;0;0;0.012987013
1;2004;-0.02451982;-0.016378443;0;-0.005780347;0;NA;-0.012797075;NA;NA;-0.014090521;0;0;0;0;-0.000151745;NA;-0.023088023;NA;0;-0.007417266;0;-0.005291005;NA;0;0;0;0;0.011547344;NA;-0.003842943;0;NA;0.008228526;0;0;NA;0;0;0;0;0;-0.026462519;-0.026548673;0.014705572;NA;-0.01786313;0;0.023026316;0;-0.02082912;0.0051373;0.018181818;NA;0;NA;-0.013986014;0;NA;0;0.016949153;0;0;0;NA;0;0;0;NA;NA;-0.010143979;0;0;0;-0.025631478;0;0;0;NA;0;0;0;0;0;NA;0;0;0;0;NA;-0.019046166;NA;0;NA;0;0;0;0;0.017857143;0;0;NA;NA;0;0.008196721;0;-0.01754386;0;-0.006953401;0
1;2004;0;0.009302326;0;-0.011627907;0;NA;0.009259259;NA;NA;0.011260286;0.00561747;0.012857143;0;0;-0.000607072;NA;-0.039389463;NA;0;-0.007095797;0;0;NA;-0.001727116;0;0;-0.014285714;-0.005237712;NA;0.007719452;0;NA;0.005507266;0;-0.005524862;NA;0;0;0;0;0;-0.000181818;0.018181818;0.013967342;NA;-0.018178542;0.014378897;0;0;0.000413052;-0.002068756;0;NA;0;NA;-0.007092199;0;NA;0;0.033333333;0;0;0;NA;0;0;0;NA;NA;-0.018512397;0.006622517;0;-0.004547116;0;0;0;0;NA;0;0;0;0;0;NA;0;0;0;0;NA;0.038831932;NA;0;NA;0;0;0;-0.018272425;0;0;0.008368201;NA;NA;0;0;-0.002064324;0.017857143;0;-0.006211531;0
1;2004;0;0;0;0;0;NA;0.009174312;NA;NA;0.023982869;0.016759554;0.01551481;0;0;-0.003948368;NA;-0.016401845;NA;0;0.014672604;0;0;NA;-0.003460208;0;0;0;0.00526529;NA;0.014943646;0;NA;0.006796885;0;0;NA;0;0;0;0;0;0.000181851;0;0.020527825;NA;-0.027777509;-0.004718721;0;0;0.004748142;-0.010426194;0;NA;0;NA;0;0;NA;0;0;0;0;0;NA;-0.026262626;0;0;NA;NA;-0.033007747;0.013157895;0;0.013698764;-0.026305732;0;-0.027777778;0;NA;0;0;0;0;0;NA;-0.013333333;0;0;0.019601451;NA;-0.009345095;NA;0;NA;0;0.011398964;0;0;0;0.020833333;0;NA;NA;0;0;0.002068595;-0.00877193;0;-0.000625036;0
1;2004;0;0;0;-0.023529412;0.004962779;NA;-0.008181818;NA;NA;0.00334588;0.016484564;0.027777778;0;0;0.003964019;NA;-0.016675352;NA;0;-0.014388489;0;0;NA;-0.010416667;0;0;0;-0.003088907;NA;-0.010947941;0;NA;-0.013501999;0;0;NA;-0.00862069;0;-0.021276596;0;0;0;0;-0.01960745;NA;0;-0.009501188;0;0;-0.02712143;-0.0021565;-0.029761905;NA;0;NA;0;0;NA;0;0;0;0;0;NA;0;0;-0.032258065;NA;NA;0.017415535;-0.003246753;0;0.002250664;0;-0.016661524;0;0;NA;0;0;0;0;0;NA;0;0;0;1.9984E-05;NA;-0.018866499;NA;0;NA;0;-0.009221311;0;0;0;0;-0.012448133;NA;NA;0;0;0;-0.008849558;0;-0.003809416;0
1;2004;-0.020213657;-0.00921659;0;0.003012048;0;NA;-0.00091659;NA;NA;0.003751563;0.037838133;0.013513514;0;0;-0.001063022;NA;-0.025348878;NA;0;0;0;0;NA;-0.000701754;0;0;0;-0.003233194;NA;-0.007634947;0;NA;0;0;0;NA;0;0;0.016304348;0;0;0;0.013392857;-0.005714169;NA;0.009517092;-0.009592326;0;0;0.005913411;-0.002099413;0.012269939;NA;0;NA;0;-0.012098765;NA;0;0;0;0;0;NA;0.082987552;0;0;NA;NA;-0.040397124;-0.003257329;0;-0.00449122;0;0;0;0;NA;0;0;0;0;0;NA;0;0;0;-0.003856837;NA;-0.004812134;NA;0;NA;0;0;-0.000428449;0;0;-0.020408163;0.008403361;NA;NA;-0.016722408;0;0.010300978;-0.017857143;0;-0.003424462;0
1;2004;0;0.00372093;0;-0.009009009;0.003703704;NA;-0.011009174;NA;NA;0;0;0.006666667;0;0;0;NA;0;NA;0;0;0;0;NA;-0.016853933;0;0;0;0;NA;0.00961711;0;NA;0;0;-0.009240741;NA;0;0;0;0;0;0;0.004405286;-0.022988032;NA;0.009535618;0;0.000535906;0;0.000419903;-0.00210383;-0.006060606;NA;0;NA;0;0;NA;0;-0.032579888;0;0;-0.28;NA;0;0;-0.05;NA;NA;-0.032465216;-0.003267974;0;-0.029348836;0;0;0;0;NA;0;0;0;0;7.51484E-05;NA;0;0;0;0.013501043;NA;-0.004825732;NA;0;NA;0;0.001723544;0;0;0;0.020833333;-0.004166667;NA;NA;0;0;0;0;0;-0.035450432;0
