Month;Year;ANADOLU EFES BIRACILIK LTD.;AFYON CIMENTO;AKBANK;AKENERJI ELEKTRIK URETIM;AKSA AKRILIK KIMYA SYI.;AKSA ENERJI URETIM;ALARKO HOLDING;ALBARAKA TURK;ALARKO GAYMEN.YATOTA.;ALKIM ALKALI KIMYA;ANADOLU CAM SANAYII;ARCELIK;ASELSAN ELNK.SANVETC.;AYEN ENERJI;AYGAZ;BAGFAS BANDIRMA GUBRE;BANVIT;BIM BIRLESIK MAGAZALAR;BIZIM TOPTAN SATIS MAGAZALARI LTD.;BESIKTAS FUTBOL;BRISA BDGSN.SLK.SANVETC.;COCA COLA ICECEK;CEMTAS CK.MAKINA SANVETC;CELEBI HAVA SERVISI;CARREFOURSA CFR.SAB;DEVA HOLDING;DOGUS OTO SERVIS VTC.;DO & CO REST.& (IST) CATER.;DOGAN SRKGRBU.HLDG.;EIS ECZACIBASI LLAC SINAI VE FIAL.YATIRIMLAR;EGE ENDI.VE TICARET;EMLAK KONUT GAYRIMENKUL YATOTA.;ENKA INSAAT VE SANAYI;ERBOSAN ERCIYAS BORU;EREGLI DEMIR CELIK;FENERBAHCE SPORTIF HIZMETLER;FORD OTOMOTIV SANAYI;TKI.GARANTI BKSI.;GLOBAL YATIRIM HLDG.;GOLTAS;GOODYEAR LASTIKLERI;GOZDE GIRISIM SERMAYESI YATOTA.;GSD HOLDING;GALATASARAY SPORTIF;GUBRE FABRIKALARI;TURKIYE HALK BANKASI;HALK GAYRIMENK A;IHLAS HOLDING;IPEK MATBAACILIK SANVETC.;TURKIYE IS BANKASI 'C';IS REAL ESTATE INVESTMENT TRUST;IZMIR DEMIR CELIK SANAYI;KARSAN OMV.SANVETC.;KARTONSAN KARTON SANVETC.;KOC HOLDING;TESCO KIPA KITLE PAZARLAMA B;KONYA CIMENTO SANAYI;KORDSA TEKNIK TEKSTIL A;KOZA ANADOLU MTL.MIE.;KOZA ALTIN ISLETMELERI;KARDEMIR 'D';LOGO YAZLIM;MEO.TICARI VE MALI YATIRIMLAR ANONIM;MIGROS TICARET;NORTEL NETWKS.NETAS TKS.;NET TURIZM TIVSNY.;NUROL GAYMEN.YATOTA.;ODAS ELEKTRIK B;OTOKAR OMV.VE SAVUNMA;PETKIM PETROKIMYA HLDG.;PEGASUS HAVA TASIMACILIGI A LTD.;POLISAN HOLDING;PARK ELEKT.URETIM MADENCILIK SANVETC.;HACI OMER SABANCI HLDG.;SASA POLYESTER A;SELCUK ECZA DEPOSU;TKI.SISE VE CAM FKI.;SODA SANAYI;TAT GIDA SANAYI;TAV HAVALIMANLARI;TURKCELL ILETISIM HZM.;TURK HAVA YOLLARI;TEKFEN HOLDING;TUMOSAN MOTOR A;TOFAS TURK OTOM.FABK.;TORUNLAR GAYRIMENKUL YATIRIM ORTAKLIGI;TRAKYA CAM SANAYI;TKI.SINAI KALK.BKSI.;TRABZON SPORTIF YTM.VTC.;TURK TELEKOMUNIKASYON;TURK TKTR.VE ZIRAAT MKE.;TUPRAS TKI.PEL.RFNE.;ULKER BISKUVI SANAYI;TKI.VAKIFLAR BANKASI;VESTEL BEYAZ ESYA SANVETC.;VESTEL ELNK.SANVETC.;VAKIF GAYMEN.YATOTA.;YATAS YAVYGN.SATT.;YAPI VE KREDI BANKASI;ZORLU ENERJI
1;2004;0.029279279;0;-0.008298755;0.018867925;0.014563107;NA;0.012345679;NA;0.021103896;0.01179941;0.011363636;-0.026929982;0;-0.014084507;0.015037594;-0.021978022;0.013605442;NA;NA;0;-0.007692308;NA;0.025641026;0.008797654;NA;0;NA;NA;0;0.024390244;0.015873016;NA;0.036144578;0.004761905;0;NA;0.048951049;-0.01;-0.03030303;0.035502959;0;NA;0;0.044975404;-0.045454545;NA;NA;0.010526316;0.0625;0.005617978;0;0;0.022624434;0.03977092;0.02238806;0;0;0.024793388;0;NA;0;0.013157895;0;0.008534851;0.007109005;0;-0.066666667;NA;-0.00530504;0;NA;NA;0.014492754;0.008982036;-0.012987013;NA;0.081632653;0;0.042780749;NA;0.015384615;0.00952381;NA;NA;0.007272727;NA;-0.012048193;0;NA;NA;NA;0;NA;NA;NA;-0.008818342;0;-0.019230769;0.038095238;-0.078947368
1;2004;0.004376368;0;-0.029288703;-0.037037037;-0.033492823;NA;-0.018292683;NA;-0.047694754;-0.011661808;-0.033707865;-0.020295203;0.027777778;-0.057142857;-0.014814815;-0.06741573;-0.040268456;NA;NA;0;-0.007751938;NA;0;-0.020348837;NA;-0.051282051;NA;NA;-0.060606061;-0.023809524;-0.03125;NA;0;0.007109005;-0.035714286;NA;-0.027777778;-0.050505051;-0.052083333;-0.005714286;0;NA;-0.045454545;0.016139879;-0.047619048;NA;NA;-0.052083333;-0.058823529;-0.044692737;-0.022727273;0;-0.030973451;-0.027386781;-0.02919708;0;-0.011764706;-0.008064516;-0.066666667;NA;0;-0.012987013;0.016129032;-0.035260931;-0.035294118;-0.026315789;0;NA;-0.032;-0.047058824;NA;NA;-0.057142857;-0.056379822;-0.013157895;NA;-0.056603774;0;-0.041025641;NA;-0.042424242;-0.028301887;NA;NA;-0.025270758;NA;-0.036585366;0;NA;NA;NA;-0.054263566;NA;NA;NA;-0.016014235;0;-0.019607843;-0.055045872;-0.042857143
1;2004;0.039215686;0;-0.025862069;-0.048076923;-0.02970297;NA;-0.046583851;NA;-0.050083472;-0.017699115;-0.046511628;-0.02259887;-0.027027027;-0.045454545;-0.022556391;0.030120482;-0.013986014;NA;NA;0;-0.03125;NA;-0.05;-0.005934718;NA;-0.027027027;NA;NA;0;0;-0.040322581;NA;-0.011627907;-0.035294118;-0.037037037;NA;-0.048;0;-0.065934066;-0.051724138;0;NA;-0.095238095;0.016545334;-0.05;NA;NA;-0.043956044;0;-0.052631579;-0.023255814;-0.035714286;-0.050228311;-0.016831839;-0.022556391;0;-0.011904762;0.004065041;0;NA;-0.142857143;0.184210526;-0.031746032;-0.011695906;-0.048780488;-0.054054054;-0.071428571;NA;-0.035812672;-0.037037037;NA;NA;-0.03030303;-0.006289308;-0.026666667;NA;0;-0.047619048;-0.026737968;NA;-0.022151899;-0.019417476;NA;NA;-0.040740741;NA;-0.025316456;-0.166666667;NA;NA;NA;-0.057377049;NA;NA;NA;-0.048824593;-0.052631579;0;-0.058252427;-0.082089552
1;2004;0;0.033333333;0.07079646;0.050505051;0.066326531;NA;0.074918567;NA;0.065026362;0.024024024;0.024390244;0.044315992;0.027777778;0.047619048;0.038461538;0.029239766;0.028368794;NA;NA;0.040816327;0.032258065;NA;0.026315789;0.026865672;NA;0.027777778;NA;NA;0.080645161;0.024390244;0.025210084;NA;0.047058824;0.029268293;0.038461538;NA;0.06002401;0.085106383;0.070588235;0.024242424;0;NA;0.105263158;0.088541667;0;NA;NA;0.045977011;0;0.080246914;0.071428571;0;0.043269231;0.02288;0.088461538;0;0.018072289;0.012145749;0;NA;0;-0.044444444;0.016393443;0.038461538;0.056410256;0.057142857;0.076923077;NA;0.042857143;0.051282051;NA;NA;0.03125;0.066455696;0.02739726;NA;0.04;0.05;0.06043956;NA;0.045307443;0.02970297;NA;NA;0.05019305;NA;0.051948052;0.2;NA;NA;NA;0.052173913;NA;NA;NA;0.068441065;0.111111111;0.05;0.082474227;0.178861789
1;2004;0.025157233;0;-0.020661157;0;-0.014354067;NA;-0.006060606;NA;0.061056106;0;0.011904762;0.012915129;0;-0.015151515;0.003703704;0.028409091;0;NA;NA;0.039215686;0;NA;0;-0.014534884;NA;0;NA;NA;0;-0.023809524;0;NA;0;-0.016587678;0.074074074;NA;-0.009060023;0.029411765;0;0.00591716;0.015625;NA;0;0.067583732;0.105263158;NA;NA;-0.010989011;0;0.005714286;0.022222222;0;0.023041475;-0.005631159;-0.017667845;0;-0.017751479;-0.004;0;NA;0;0;0;-0.012820513;0.007281553;-0.027027027;0;NA;-0.005479452;0;NA;NA;0;0;0;NA;-0.019230769;0;0.010362694;NA;-0.009287926;0;NA;NA;0.011029412;NA;0.024691358;0;NA;NA;NA;0;NA;NA;NA;0.008896797;0;-0.00952381;0;0.048275862
1;2004;-0.024539877;0.032258065;-0.033755274;-0.028846154;-0.004854369;NA;-0.018292683;NA;0.00466563;-0.032258065;0;-0.02003643;-0.027027027;0;-0.011070111;-0.022099448;-0.006896552;NA;NA;-0.018867925;-0.0078125;NA;0.025641026;-0.005899705;NA;0;NA;NA;-0.029850746;0;-0.008196721;NA;-0.02247191;0;-0.034482759;NA;-0.019428571;0.00952381;-0.032967033;-0.023529412;-0.015384615;NA;0;0.053781513;0;NA;NA;-0.022222222;0;-0.028409091;0.043478261;0;-0.013513514;0;-0.010791367;0;0;-0.020080321;0;NA;0;-0.023255814;0;-0.018759019;-0.024096386;0;0;NA;-0.016528926;-0.024390244;NA;NA;-0.03030303;-0.03264095;-0.013333333;NA;-0.019607843;-0.047619048;-0.020512821;NA;0;-0.019230769;NA;NA;-0.043636364;NA;0.024096386;0;NA;NA;NA;-0.008264463;NA;NA;NA;-0.024691358;0;-0.009615385;-0.028571429;-0.046052632
1;2004;0;0;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0;NA;NA;0;0;NA;0;0;NA;0;NA;NA;0;0;0;NA;0;0;0;NA;0;0;0;0;0;NA;0;0;0;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;NA;0;0;NA;NA;0;0;0;NA;0;0;0;NA;0;0;NA;NA;0;NA;0;0;NA;NA;NA;0;NA;NA;NA;0;0;0;0;0
1;2004;-0.016771488;-0.03125;-0.008733624;0.00990099;0.004878049;NA;0.00621118;NA;0;0.015151515;0.011764706;-0.007434944;0;-0.015384615;-0.014925373;0.016949153;-0.020833333;NA;NA;-0.019230769;0;NA;0;0;NA;0;NA;NA;0;0;-0.008264463;NA;-0.011494253;0.004819277;-0.017857143;NA;-0.009324009;-0.018867925;-0.011363636;0.006024096;-0.015625;NA;0;0.025518341;-0.047619048;NA;NA;-0.011363636;0;0;0.020833333;0;-0.01826484;0;-0.036363636;0;-0.006024096;0.012295082;0;NA;0;0.011904762;-0.016129032;-0.019117647;-0.007407407;0;0;NA;-0.014005602;0;NA;NA;0.015625;-0.015337423;0.027027027;NA;0.02;0;0;NA;-0.0125;-0.009803922;NA;NA;0.019011407;NA;0.023529412;0;NA;NA;NA;0;NA;NA;NA;0.016274864;-0.05;-0.009708738;-0.049019608;0.020689655
1;2004;-0.025586354;-0.032258065;-0.004405286;-0.029411765;-0.033980583;NA;-0.015432099;NA;0;-0.026865672;-0.034883721;-0.028089888;-0.027777778;-0.015625;-0.018939394;-0.016666667;-0.014184397;NA;NA;-0.019607843;-0.031496063;NA;-0.025;-0.017804154;NA;-0.027027027;NA;NA;-0.046153846;0;0;NA;-0.011627907;-0.009592326;-0.018181818;NA;0.02;-0.038461538;-0.045977011;0.011976048;0;NA;-0.047619048;-0.033177812;0;NA;NA;-0.011494253;0.0625;-0.023391813;0;-0.037037037;-0.023255814;-0.01116879;-0.026415094;0;0;-0.024291498;0;NA;0;-0.047058824;-0.032786885;-0.005997001;-0.017412935;-0.027777778;-0.071428571;NA;0;0;NA;NA;-0.015384615;-0.024922118;-0.026315789;NA;-0.019607843;0;-0.020942408;NA;-0.028481013;-0.04950495;NA;NA;-0.041044776;NA;-0.034482759;0;NA;NA;NA;0.016666667;NA;NA;NA;-0.023131673;-0.052631579;-0.009803922;-0.103092784;-0.047297297
1;2004;-0.006564551;0;0;0;0;NA;-0.012539185;NA;0;0;-0.012048193;-0.005780347;0;-0.015873016;0;0;-0.007194245;NA;NA;0;0;NA;0;-0.009063444;NA;-0.027777778;NA;NA;0.032258065;-0.024390244;-0.016666667;NA;-0.058823529;-0.007263923;-0.018518519;NA;-0.019607843;-0.02;-0.024096386;0;0;NA;0.05;0.017158177;0;NA;NA;-0.011627907;-0.058823529;0.005988024;0;0;-0.00952381;0.034043907;0.007751938;0;-0.012121212;-0.012448133;0;NA;0;-0.012345679;0.016949153;-0.019607843;0;0;0;NA;-0.005681818;0.075;NA;NA;0;0.015974441;0;NA;0;0;-0.005347594;NA;0;0.020833333;NA;NA;-0.035019455;NA;-0.035714286;0;NA;NA;NA;0.040983607;NA;NA;NA;-0.009107468;0.055555556;0.01980198;0.011494253;0.113475177
