Month,Year,ANADOLU EFES BIRACILIK LTD.,AFYON CIMENTO,AKBANK,AKENERJI ELEKTRIK URETIM,AKSA AKRILIK KIMYA SYI.,AKSA ENERJI URETIM,ALARKO HOLDING,ALBARAKA TURK,ALARKO GAYMEN.YATOTA.,ALKIM ALKALI KIMYA,ANADOLU CAM SANAYII,ARCELIK,ASELSAN ELNK.SANVETC.,AYEN ENERJI,AYGAZ,BAGFAS BANDIRMA GUBRE,BANVIT,BIM BIRLESIK MAGAZALAR,BIZIM TOPTAN SATIS MAGAZALARI LTD.,BESIKTAS FUTBOL,BRISA BDGSN.SLK.SANVETC.,COCA COLA ICECEK,CEMTAS CK.MAKINA SANVETC,CELEBI HAVA SERVISI,CARREFOURSA CFR.SAB,DEVA HOLDING,DOGUS OTO SERVIS VTC.,DO & CO REST.& (IST) CATER.,DOGAN SRKGRBU.HLDG.,EIS ECZACIBASI LLAC SINAI VE FIAL.YATIRIMLAR,EGE ENDI.VE TICARET,EMLAK KONUT GAYRIMENKUL YATOTA.,ENKA INSAAT VE SANAYI,ERBOSAN ERCIYAS BORU,EREGLI DEMIR CELIK,FENERBAHCE SPORTIF HIZMETLER,FORD OTOMOTIV SANAYI,TKI.GARANTI BKSI.,GLOBAL YATIRIM HLDG.,GOLTAS,GOODYEAR LASTIKLERI,GOZDE GIRISIM SERMAYESI YATOTA.,GSD HOLDING,GALATASARAY SPORTIF,GUBRE FABRIKALARI,TURKIYE HALK BANKASI,HALK GAYRIMENK A,IHLAS HOLDING,IPEK MATBAACILIK SANVETC.,TURKIYE IS BANKASI 'C',IS REAL ESTATE INVESTMENT TRUST,IZMIR DEMIR CELIK SANAYI,KARSAN OMV.SANVETC.,KARTONSAN KARTON SANVETC.,KOC HOLDING,TESCO KIPA KITLE PAZARLAMA B,KONYA CIMENTO SANAYI,KORDSA SANAYIVE,KOZA ANADOLU MTL.MIE.,KOZA ALTIN ISLETMELERI,KARDEMIR 'D',LOGO YAZLIM,MEO.TICARI VE MALI YATIRIMLAR ANONIM,MIGROS TICARET,NORTEL NETWKS.NETAS TKS.,NET TURIZM TIVSNY.,NUROL GAYMEN.YATOTA.,ODAS ELEKTRIK B,OTOKAR OMV.VE SAVUNMA,PETKIM PETROKIMYA HLDG.,PEGASUS HAVA TASIMACILIGI A LTD.,POLISAN HOLDING,PARK ELEKT.URETIM MADENCILIK SANVETC.,HACI OMER SABANCI HLDG.,SASA POLYESTER A,SELCUK ECZA DEPOSU,TKI.SISE VE CAM FKI.,SODA SANAYI,TAT GIDA SANAYI,TAV HAVALIMANLARI,TURKCELL ILETISIM HZM.,TURK HAVA YOLLARI,TEKFEN HOLDING,TUMOSAN MOTOR A,TOFAS TURK OTOM.FABK.,TORUNLAR GAYRIMENKUL YATIRIM ORTAKLIGI,TRAKYA CAM SANAYI,TKI.SINAI KALK.BKSI.,TRABZON SPORTIF YTM.VTC.,TURK TELEKOMUNIKASYON,TURK TKTR.VE ZIRAAT MKE.,TUPRAS TKI.PEL.RFNE.,ULKER BISKUVI SANAYI,TKI.VAKIFLAR BANKASI,VESTEL BEYAZ ESYA SANVETC.,VESTEL ELNK.SANVETC.,VAKIF GAYMEN.YATOTA.,YATAS YAVYGN.SATT.,YAPI VE KREDI BANKASI,ZORLU ENERJI
Ocak,2004,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,0,0,NA,0,NA,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,NA,0,0,NA,NA,0,0,0,NA,0,0,0,NA,0,0,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0
Ocak,2004,0,-0.03125,0.033195020746888,0.009708737864078,0.023809523809524,NA,0.006430868167203,NA,0.057996485061511,0.021212121212121,0.012048192771084,0.018867924528302,0.055555555555556,0.035714285714286,0.028571428571429,0.047904191616766,0.006666666666667,NA,NA,0,0.030769230769231,NA,0,0.026865671641791,NA,0.025641025641026,NA,NA,0.0625,0,0.0078125,NA,0,0.004651162790698,0.054545454545455,NA,0.005108556832695,0.010526315789474,0.010309278350516,0.006756756756757,0.032258064516129,NA,0.052631578947368,0.012364760432767,0,NA,NA,0.053763440860215,0,0.033149171270718,0.025641025641026,0.037037037037037,0.033333333333333,0,0.017921146953405,-0.009090909090909,-0.017341040462428,0.03448275862069,0,NA,0,0.041666666666667,0.015873015873016,0.010115606936416,0.050632911392405,0.028571428571429,0,NA,0.026178010471204,0.024691358024691,NA,NA,0,0.031428571428571,0.026315789473684,NA,0.068181818181818,0,0.018072289156627,NA,0.028301886792453,0.030612244897959,NA,NA,0.007168458781362,NA,0.051948051948052,0,NA,NA,NA,0.034188034188034,NA,NA,NA,0.026168224299066,0,-0.025862068965517,0.06,0.008264462809917
Ocak,2004,0.018018018018018,0,0.044176706827309,0.057692307692308,0.018604651162791,NA,0,NA,0.006644518272425,0.01186943620178,0.071428571428571,0,-0.026315789473684,0.155172413793104,-0.006944444444444,0.028571428571429,0.013245033112583,NA,NA,0,0.022388059701493,NA,0,0.017441860465116,NA,0.025,NA,NA,0.029411764705882,0,0.023255813953488,NA,-0.011494252873563,-0.00462962962963,0.017241379310345,NA,0.006353240152478,0.052083333333334,0.020408163265306,0.053691275167785,0.0625,NA,0,0.043511450381679,0.117647058823529,NA,NA,0.030612244897959,0.0625,0.010695187165775,0.05,0,0.009216589861751,-0.011262318160488,0.007042253521127,0,0.011764705882353,0.004166666666667,0,NA,0,0.013333333333334,0,0.024320457796853,0.072289156626506,0,0.076923076923077,NA,0.020408163265306,0.012048192771084,NA,NA,0,0.013850415512466,0,NA,0.063829787234043,0.047619047619048,0.088757396449704,NA,0.064220183486239,0.05940594059406,NA,NA,0.02491103202847,NA,0.012345679012346,0,NA,NA,NA,0.03305785123967,NA,NA,NA,0.02367941712204,0.117647058823529,-0.026548672566372,0.150943396226415,0.032786885245902
Ocak,2004,-0.028761061946903,0,-0.030769230769231,-0.054545454545455,-0.045662100456621,NA,-0.02555910543131,NA,-0.04950495049505,-0.032258064516129,-0.033333333333333,-0.050505050505051,-0.027027027027027,-0.044776119402985,-0.024475524475524,-0.011111111111111,-0.026143790849673,NA,NA,0,-0.021897810218978,NA,0,-0.025714285714286,NA,-0.048780487804878,NA,NA,-0.071428571428571,0.051282051282051,-0.022727272727273,NA,-0.034883720930233,0,-0.050847457627119,NA,-0.026515151515152,-0.00990099009901,-0.03,-0.012738853503185,-0.029411764705882,NA,-0.05,0.017556693489393,0.210526315789474,NA,NA,-0.05940594059406,-0.058823529411765,-0.052910052910053,-0.071428571428571,-0.035714285714286,0.013698630136986,-0.005537098560354,-0.034965034965035,0,-0.011627906976744,-0.024896265560166,0,NA,0,-0.013157894736842,0,-0.033519553072626,-0.040449438202247,0,0,NA,-0.045,0.011904761904762,NA,NA,-0.041666666666667,-0.043715846994536,-0.025641025641026,NA,-0.06,-0.045454545454546,-0.005434782608696,NA,-0.008620689655172,-0.05607476635514,NA,NA,-0.038194444444445,NA,-0.036585365853659,0,NA,NA,NA,-0.024,NA,NA,NA,-0.023131672597865,-0.052631578947369,0,-0.040983606557377,-0.03968253968254
Ocak,2004,0.011389521640091,0,0.011904761904762,0.028846153846154,0.014354066985646,NA,0.039344262295082,NA,0.027777777777778,0,0.022988505747127,0.033687943262411,0,0.09375,0,0.028089887640449,0.040268456375839,NA,NA,0.061224489795919,0.007462686567164,NA,0,0.026392961876833,NA,0.025641025641026,NA,NA,0.046153846153846,0.024390243902439,-0.007751937984496,NA,0.048192771084338,-0.018604651162791,0.017857142857143,NA,0.01556420233463,0.03,0.010309278350516,0.058064516129032,0,NA,0,0,-0.043478260869565,NA,NA,0.021052631578948,0,0.027932960893855,0.025641025641026,0,0.027027027027027,0.017021953547566,0,0,0.005882352941176,0.012765957446809,0,NA,0,0.013333333333334,0.015625,0.020231213872832,0.018735362997658,0.027777777777778,0,NA,0,0.023529411764706,NA,NA,0.043478260869565,0.014285714285714,0.013157894736842,NA,0.042553191489362,0.095238095238095,0.032786885245902,NA,-0.031884057971015,0.03960396039604,NA,NA,0.014440433212996,NA,0.025316455696203,0,NA,NA,NA,0.008196721311476,NA,NA,NA,0.056466302367942,0,0.018181818181818,0.042735042735043,0.016528925619835
Ocak,2004,0,0.032258064516129,0.015686274509804,-0.009345794392523,0.014150943396226,NA,0.041009463722398,NA,0.035472972972973,0.009090909090909,0.01123595505618,0.012006861063465,0.027777777777778,-0.042857142857143,-0.007168458781362,0.016393442622951,0.006451612903226,NA,NA,-0.019230769230769,-0.007407407407407,NA,0.025,-0.005714285714286,NA,0.025,NA,NA,-0.014705882352941,0,0.0078125,NA,0.022988505747127,-0.004739336492891,0,NA,0.0485312899106,0.019417475728155,0.020408163265306,0.054878048780488,-0.015151515151515,NA,0,0.005751258087707,-0.045454545454546,NA,NA,-0.030927835051546,0,-0.010869565217391,0,0.074074074074074,0.052631578947368,0,0,0,-0.005847953216374,-0.004201680672269,0,NA,0,0,-0.015384615384616,-0.004249291784702,0.004597701149425,-0.027027027027027,0,NA,0.007853403141361,-0.022988505747127,NA,NA,-0.027777777777778,-0.005633802816901,0,NA,0,-0.043478260869565,0.047619047619048,NA,0,0,NA,NA,-0.01423487544484,NA,0,0,NA,NA,NA,-0.008130081300813,NA,NA,NA,0.01551724137931,-0.055555555555556,0,-0.032786885245902,0.008130081300813
Ocak,2004,0.011261261261261,0.03125,0,0.009433962264151,0,NA,0.024242424242424,NA,0.021207177814029,0.051051051051051,0.022222222222222,0.013559322033898,0,0.08955223880597,0.018050541516246,0.005376344086022,0,NA,NA,-0.03921568627451,0.029850746268657,NA,0.024390243902439,0.022988505747127,NA,0,NA,NA,0.044776119402985,0,0.007751937984496,NA,0.033707865168539,0.004761904761905,0.017543859649123,NA,0.014616321559074,0.066666666666667,0.02,0.034682080924855,0.030769230769231,NA,0.052631578947368,0.034310221586848,0.047619047619048,NA,NA,0.031914893617021,0,0.043956043956044,0.05,0,0,-0.005631159080244,0.043478260869565,0.009174311926605,0.011764705882353,0.025316455696203,0,NA,0,0.013157894736842,0.015625,0.008534850640114,0.011441647597254,0,0.071428571428571,NA,0.012987012987013,0.011764705882353,NA,NA,0.014285714285714,0.028328611898017,0.012987012987013,NA,0.061224489795919,0,0.01010101010101,NA,0.041916167664671,0.019047619047619,NA,NA,0.032490974729242,NA,0.037037037037037,0,NA,NA,NA,0.032786885245902,NA,NA,NA,0.01528013582343,0.058823529411765,0,0.050847457627119,0
Ocak,2004,0.017817371937639,-0.03030303030303,-0.019305019305019,0.009345794392523,-0.009302325581395,NA,0,NA,0.031948881789137,-0.011428571428572,-0.032608695652174,-0.031772575250836,-0.027027027027027,0.041095890410959,-0.017730496453901,0,-0.025641025641026,NA,NA,0,-0.028985507246377,NA,-0.023809523809524,-0.01123595505618,NA,-0.024390243902439,NA,NA,-0.042857142857143,-0.023809523809524,-0.007692307692308,NA,-0.032608695652174,0.007109004739337,0,NA,0.030012004801921,-0.026785714285714,0.009803921568627,0.016759776536313,-0.029850746268657,NA,0,-0.005528680027643,-0.045454545454546,NA,NA,-0.010309278350516,0,-0.031578947368421,0,-0.03448275862069,-0.029166666666667,-0.005663048607834,-0.024305555555556,0,-0.011627906976744,0.02880658436214,0,NA,0,0,-0.030769230769231,-0.008462623413258,-0.01131221719457,0.027777777777778,-0.066666666666667,NA,-0.020512820512821,-0.011627906976744,NA,NA,-0.014084507042254,-0.022038567493113,0.012820512820513,NA,-0.019230769230769,0,-0.025,NA,-0.03448275862069,-0.018691588785047,NA,NA,-0.024475524475524,NA,0,0,NA,NA,NA,0,NA,NA,NA,0.008361204013378,0.055555555555556,-0.008928571428571,-0.048387096774194,-0.016129032258065
Ocak,2004,-0.006564551422319,-0.03125,-0.007874015748031,-0.009259259259259,-0.018779342723005,NA,-0.017751479289941,NA,0.004643962848297,-0.008670520231214,0,-0.006908462867012,0,0.013157894736842,-0.014440433212996,-0.016042780748663,0,NA,NA,0.020408163265306,-0.007462686567164,NA,-0.024390243902439,0,NA,0,NA,NA,0.014925373134328,0,0,NA,-0.01123595505618,0,-0.017241379310345,NA,0.048951048951049,-0.009174311926606,-0.009708737864078,-0.043956043956044,0.015384615384615,NA,0.05,0,-0.047619047619048,NA,NA,0,0,0,0.095238095238095,0,-0.030042918454936,-0.005537098560354,-0.00711743772242,0,0.005882352941176,0,0,NA,0,0,-0.015873015873016,0.004267425320057,0,0.054054054054054,0.071428571428571,NA,0.007853403141361,0.011764705882353,NA,NA,0,-0.005633802816901,-0.012658227848101,NA,0,0,0.015384615384615,NA,-0.011904761904762,-0.009523809523809,NA,NA,0.007168458781362,NA,0.011904761904762,0,NA,NA,NA,0,NA,NA,NA,0,0.052631578947368,-0.018018018018018,-0.050847457627119,0.098360655737705
Ocak,2004,-0.022026431718062,-0.032258064516129,-0.043650793650794,-0.009345794392523,-0.014354066985646,NA,-0.024096385542169,NA,-0.050847457627119,-0.011661807580175,-0.01123595505618,-0.031304347826087,0,-0.077922077922078,-0.025641025641026,-0.010869565217391,-0.032894736842105,NA,NA,-0.02,-0.022556390977444,NA,-0.025,-0.03125,NA,-0.025,NA,NA,-0.029411764705882,0,-0.023255813953489,NA,-0.056818181818182,-0.011764705882353,-0.017543859649123,NA,-0.046666666666667,-0.074074074074074,-0.029411764705882,-0.028735632183908,-0.03030303030303,NA,0.047619047619048,-0.011118832522585,0.1,NA,NA,-0.010416666666667,0,-0.032608695652174,-0.043478260869565,0,-0.02212389380531,0,-0.039426523297491,0,-0.005847953216374,-0.032,0,NA,0,-0.012987012987013,0,-0.004249291784702,-0.034324942791762,-0.025641025641026,0,NA,-0.020779220779221,-0.011627906976744,NA,NA,-0.014285714285714,-0.053824362606232,-0.012820512820513,NA,-0.03921568627451,-0.045454545454546,-0.055555555555556,NA,-0.021084337349398,0.009615384615385,NA,NA,-0.02135231316726,NA,-0.023529411764706,0,NA,NA,NA,0.023809523809524,NA,NA,NA,-0.059701492537314,-0.05,-0.045871559633028,-0.0625,0.134328358208955
