"","Group.1","Group.2","KRKA","PETROL","TELEKOM.SLOVENIJE","ZAVAROVALNICA.TRIGLAV","CETIS.REDNE","CINKARNA.REDNE","DATALAB.TEHNOLOGIJE","DELO.PRODAJA","GEA.TOVARNA.OLJA","GORENJE","GRAND.HOTEL.UNION","INLES.RIBNICA.REDNE","INTEREUROPA","ISTRABENZ","KD","KOMPAS.MTS","KS.NALOZBE","LUKA.KOPER","M1.FINANCNA.DRUZBA","MELAMIN.REDNE","MERCATOR","MLINOTEST","NAMA","NIKA.REDNE","POZAVAROVALNICA.SAVA","SALUS.REDNE.SERIJA.B","SIVENT","TERME.CATEZ.REDNE","TOPLICE.DOBRNA","UNIOR.KOVASKA","ZDRAVILISEE.ROGASKA.REDN"
"23",11,2005,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00468662802543031,0.0154504122328271,NA,NA,NA,0.00792469172201568,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",12,2005,0,0.0590576121713566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.023362656634497,0.0163056824053455,NA,NA,NA,0,NA,NA,1.26564937651598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1,2006,0,0.00486110664149535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0166555042513332,NA,NA,NA,0.0112533800784908,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2,2006,0,0.00311203233807341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0153356715584931,NA,NA,NA,0.0149220232540457,NA,NA,0.00356837165380846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",3,2006,0.00146354138811726,0,NA,NA,0.00633814882918664,0,NA,0.012683419520343,NA,0.007880618891247,0,NA,0.0168725892548206,0.0177910508305034,NA,NA,NA,0.0171936216070093,0,0.00160577538292247,0,0.00140422934867615,0.00512519284079108,0,NA,NA,NA,0.718340791900607,0.156494961895635,NA,NA
"28",4,2006,0,0,NA,NA,0,0,NA,0.0080476271239148,0.00688580314574744,0,0.0177172665305409,NA,0,0,NA,0.0115106606585543,NA,0,0.331456006941755,0.0145391021057546,0.0437182099057565,0.0204121368129066,0.0410517075175005,0.000122448297540764,NA,0.761634047094577,NA,0,0.000996705282455203,NA,NA
"29",5,2006,0,0,NA,NA,0,0,NA,0,0,0.00664793540877406,0.000735484402345262,NA,0.0232258776544689,0.0148307108658096,NA,0,NA,0.0125124311175539,0,0.00431594744366689,0.0156511348996867,0,0.0266216563723128,6.28705849345197e-05,NA,0.0290153100305147,NA,0.0765820060689676,0.0682282492321907,NA,NA
"30",6,2006,0.00478644549242854,0.00469715927504892,NA,NA,0.000132231094994224,8.62424826212727,NA,0,0,0.00696650041686228,0.00417345900957864,NA,0,0.0246575022443102,NA,0.00975258457686572,NA,0.0148660804368218,0.00257761265851803,0.0248329900049753,0.611961633010008,0.0170824757814076,0.0357684644311528,0,NA,0,NA,0.023187941456492,0,NA,NA
"31",7,2006,0,0,NA,NA,0.106112225828621,2.03872524856906,NA,0.0291454940998404,0.000410391340834062,0.0194161586672995,0.00672001210684042,NA,0.0106096460004657,0.0162497536749133,NA,0.0820537379477945,NA,0,0.00264457489229173,0.0081777014247203,0.0172813034483502,0.00521751898645382,0,0,NA,3.49365093714756,NA,0.778359085153095,0.0189590553019534,NA,NA
"32",8,2006,0,0.0103051476842905,NA,NA,0,1.83513752085435,NA,0.00775790633519515,0.00822114566617992,0.01150131530558,0.0319882421648108,NA,0,0.00733854518392058,NA,0.000277756515435522,NA,0,0,0.00375164898614099,1.13164228830539,0.0410207463393689,6.37318411196645e-05,0,NA,0.179338155064058,NA,0.0100544745516568,0.0677586459214255,NA,NA
