"","Group.1","Group.2","AMBEV.ON","GERDAU.PN","ECOD.INFU.E.LOG.ON","METALURGICA.GERDAU.PN","LOJAS.RENNER.ON","ITAU.UNIBANCO.HOLDING.PN","CPFL.ENERGIA.ON","LOJAS.AMERICANAS.PN.REP1.PN","CYRELA.BRAZIL.REALTY.ON","SMILES.ON","CIA.ENERGETICA.DE.MINAS.GERAIS.PN","BANCO.SANTANDER.BRASIL.UNITS","BRF.BRASIL.FOODS.ON","USINAS.SIDERURGICAS.DE.MINAS.GERAIS.A.PN","ENGIE.BRASIL.ENERGIA.ON","WEG.ON","QUALICORP.ON","EMBRAER.ON","CMPH.COCS..RODOVIARIAS.ON","ENERGIAS.DO.BRASIL.ON.BRAZIL","RUMO.ON","RAIA.DROGASIL.ON","HYPERMARCAS.ON","ITAUSA.INVESTIMENTOS.ITAU.PN","MRV.ENGENHARIA.E.PARTICIPACOES.ON","BANCO.DO.BRASIL.ON","VALE.ON","KLABIN.UNITS","MARFRIG.FRIGORIFICOS.ON","BMF.BOVESPA.BLVAL..MEREFU.ON","BB.SEGURIDADE.ON","PETROLEO.BRASILEIRO.PN","ESTACIO.PARTICIPACOES.ON","EQUATORIAL.ENERGIA.ON","CIA.PARANAENSE.DE.ENERGIA.COPEL.PN","BRASKEM.PN.SERIES.A","BANCO.BRADESCO.PN","MULTIPLAN.EMPE..IMOBS.ON","SUZANO.BAHIA.SUL.PAPEL.CELULOSE.A.PN","NATURA.COSMETICOS.ON","VALE.PN","BANCO.BRADESCO.ON","CIELO.ON","KROTON.EDUCACIONAL.ON","FIBRIA.CELULOSE.ON","CPAD.SANMT.BASICO.DE.SAOP.ON","LOCALIZA.RENT.A.CAR.ON","TELEFONICA.BRASIL.PN","BRADESPAR.PN","BR.MALLS.PARTICIPACOES.ON","COMPANHIA.SIDERURGICA.NACIONAL.ON","ULTRAPAR.PARTICIPOES.ON","COSAN.INDUSTRIA.E.COMERCIO.ON","CMPBRA.DE.DISTB..PN","JBS.ON","CENTRAIS.ELETR.BRAS..ELETROBRAS.ON","TIM.PARTICIPACOES.ON","PETROLEO.BRASILEIRO.ON"
"11",11,2004,-2.42010386409426e-05,-0.000113292511083806,NA,-5.59606719099146e-05,0,-2.15111073655214e-06,0.000101837479466104,4.51098645495438e-06,NA,NA,4.36093829365085e-06,NA,0,2.74162571880453e-06,-8.71302328767167e-05,-1.11697895164821e-07,NA,4.03357573918058e-05,3.46307346617553e-05,NA,-0.000258880029338166,-3.14566697494287e-09,NA,2.41377238813042e-05,NA,-7.51663430021421e-05,-0.000153170319820879,NA,NA,NA,NA,-6.62091161919684e-05,NA,NA,-0.000338467600234859,4.57449041880201e-05,1.29404421811386e-05,NA,1.01076680352405e-05,0.000124580161944442,-0.000159227911215845,8.21611571611434e-07,NA,NA,NA,-5.68558488062577e-05,NA,4.52275933481192e-08,2.94987230959179e-05,NA,4.37106846755995e-05,0,NA,2.57744356759073e-05,NA,2.76234749844452e-05,-0.000162299019508774,-3.85769705616414e-05
"12",12,2004,-3.41045812392182e-06,-1.18314814163695e-05,NA,5.52143262337002e-05,0,6.18357184308773e-05,-8.58173041803495e-05,-1.26105681495146e-05,NA,NA,8.61157174984443e-05,NA,0,5.65635051693347e-05,-0.000144468522487069,0,NA,-7.01467651537846e-06,6.71543212311785e-05,NA,-0.000273631076589311,-2.16450216450216e-05,NA,0.000160101598793294,NA,-2.3830745870594e-05,-4.11274923778844e-05,NA,NA,NA,NA,-7.93523574603848e-05,NA,NA,0.000158452803400602,-2.60952549879099e-05,0.000148962487956978,NA,-7.09990940500998e-05,1.13537919556052e-05,8.00016107745833e-07,5.16273846041008e-05,NA,NA,NA,-7.65379435028489e-05,NA,-9.82462643199071e-05,0.000115349491604823,NA,4.09655380576549e-07,0,NA,-1.32452625774669e-05,NA,0.000844308140942428,-6.98291948866376e-05,-6.77084279894019e-05
"13",1,2005,5.74786064467422e-07,5.94470326995016e-06,NA,0.000133103076859211,0,-1.51198103267831e-05,6.78784141378582e-05,3.25839666945649e-05,NA,NA,9.86284175251628e-06,NA,0,0.000216663680975673,-0.000232874341167496,0,NA,-0.000210747889975222,-6.23641740473256e-05,NA,-4.82539910027179e-06,0,NA,-1.86922802655435e-05,NA,-2.57994499017482e-05,0.000119549070543473,NA,NA,NA,NA,-1.3871954864929e-05,NA,NA,9.80026281364464e-05,-4.2758403738073e-05,1.65588401752283e-05,NA,6.80499742895339e-05,-0.000144977418099157,0.00018910392081463,0.000191108732448677,NA,NA,NA,-0.000120191561218608,NA,6.62049068363099e-05,7.77557244093136e-05,NA,0.000234322286507976,0,NA,1.78157512769263e-05,NA,9.28663370578219e-05,8.04686256993355e-05,-2.58203439635914e-05
"14",2,2005,-3.09568081547544e-06,4.44227761328021e-05,NA,4.67292102376511e-05,0,7.05950885546492e-05,-6.37877013852452e-05,-7.61622177142864e-05,NA,NA,-0.000258465514695869,NA,-0.000125767569911849,-7.20405183351418e-05,-0.000157689774394122,-1.46868640783724e-06,NA,-8.77049559845933e-05,-0.000223336648106706,NA,0,0,NA,8.72826591206415e-05,NA,0.000169282087625531,0.000202459082684168,NA,NA,NA,NA,-3.37682096216442e-05,NA,NA,-8.91703140812582e-05,7.23401078008031e-05,0.00017970451440897,NA,3.2255635071065e-05,0.000234317030670441,0.00015856396542751,0.000296890656618864,NA,NA,NA,4.42560795831409e-05,NA,-0.000151019061710874,0.000120641461618844,NA,-8.39360258789798e-05,0,NA,6.75136598571671e-05,NA,-0.000142718032064292,-0.000272571856758224,-6.6658674019521e-05
"15",3,2005,-8.82941367268794e-05,0.000204720039773441,NA,0.000185337303184284,0,0.00010412237332542,-4.57951284223206e-05,0.000115335552890783,NA,NA,0.000167481686272385,NA,-2.27402662357408e-06,0.000140804637000569,-0.000309623667594283,0,NA,-0.00074424484158897,-0.00016953781156108,NA,-0.00118069284696782,-1.78884476762906e-05,NA,0.000149295657554983,NA,0.000101445941019539,-3.9977101773863e-05,NA,NA,NA,NA,9.04613586312224e-05,NA,NA,9.27290609143722e-05,0.000140513578461381,2.10388073329835e-06,NA,6.08450941510459e-05,-0.000114383068989308,8.51459833764527e-06,8.54238475455536e-05,NA,NA,NA,-0.000129840359387655,NA,-2.73010214434548e-05,5.40421597156842e-05,NA,6.29178054877344e-05,0,NA,5.55038006713359e-05,NA,-3.58019808975838e-05,2.6372389197549e-05,6.51784026903076e-05
"16",4,2005,0.000405595010953231,-2.13140718172632e-05,NA,7.77380714281645e-05,0,-6.73231705213405e-05,-5.45050795625652e-05,-0.000166689987252756,NA,NA,-0.000187843694009961,NA,5.24583380242854e-05,-5.51615661154403e-05,-0.000415333401572326,0,NA,-8.93518406522219e-05,-0.000116784457633585,NA,0,-1.16959065497076e-05,NA,8.33288023929265e-05,NA,0.000101928685445893,7.72147410884798e-05,NA,NA,NA,NA,-3.26729944005078e-05,NA,NA,-0.000241797988338474,-8.45997592978262e-05,-0.000182732636256617,NA,-0.000128529978558503,-1.06429383729236e-05,8.68230733841338e-05,-8.62820471352019e-05,NA,NA,NA,-0.000123975012901502,NA,-5.2409066578794e-05,0.000211537356430079,NA,-6.11807457873048e-05,0,NA,2.17012130501323e-05,NA,-0.000251345448811463,7.04572066868438e-05,-1.71918942410416e-05
"17",5,2005,-0.00019411066675411,0.000267830971652592,NA,0.000240764801984128,0,-4.73025672570136e-05,0.000196592774852031,4.14026988009103e-05,NA,NA,-1.85176053014144e-05,NA,-1.4907221596086e-05,0.000321118161881462,-4.92809115824953e-05,0,NA,-0.000171352348863675,5.3131459502133e-05,NA,-0.000209697327290526,0,NA,2.30477374584607e-05,NA,2.38121707714737e-05,-2.63143950541155e-05,NA,NA,NA,NA,4.60645258644549e-05,NA,NA,-1.24193609711158e-05,0.000185402142357949,-6.80898043119033e-05,NA,0.000203487871636908,0.000320851478665429,-6.537481611163e-06,-8.19540712831901e-05,NA,NA,NA,8.73397537497611e-06,0,-0.000116341167673684,-6.19260749582905e-05,NA,-0.000122121388855788,0,NA,9.52020958932394e-05,NA,-0.000168069046566515,-0.000134913226652725,5.50657851355885e-05
"18",6,2005,8.26590672392495e-05,8.71836462652554e-05,NA,0.000158537381186467,-0.00025317310363219,7.89918671268202e-05,-2.0535704650715e-05,8.18935490699406e-05,NA,NA,3.29188446678388e-05,NA,0,0.000224063096197397,-0.00018638233613257,-2.99900994991819e-06,NA,0.000112571580018447,2.57379047788688e-05,NA,-6.10035501703118e-05,-2.87519906095997e-05,NA,2.00058874323833e-05,NA,3.77324343678055e-05,0.000124529538531996,NA,NA,NA,NA,8.64951437361426e-06,NA,NA,-1.42118416550025e-05,0.000211405743410376,8.6485670629513e-05,NA,0.000114864535066103,-5.51892132389824e-05,0.000100517529303933,-4.94782645035511e-05,NA,NA,NA,-9.42648518708328e-05,-6.05015367288977e-05,-2.13011835781647e-05,0.000126937952112828,NA,2.17008935740191e-05,0,NA,-4.16651466907252e-05,NA,-0.000175909195448096,0.000230672158000394,-2.00089957256487e-05
"19",7,2005,-5.66768292732578e-05,0.000239587099741837,NA,0.000292723638214078,0.00132114077361056,5.43711138623494e-05,3.7409342852355e-05,9.42763589402976e-05,0.000180672980748993,NA,-5.79675501901785e-05,NA,0,0.000804678782874254,0.000383443082041682,0,NA,-5.25851592074598e-05,-3.66459992190536e-05,8.45398239148918e-05,-0.00183882154580286,-4.21052631578947e-06,NA,7.65306907379098e-05,NA,0.000256111119680316,3.25842065828084e-05,NA,NA,NA,NA,1.56191315061129e-05,NA,NA,-0.00011783413653295,0.000559595370792599,5.15341042862929e-05,NA,0.000231542405752381,-0.000305008643013064,3.34545399655777e-05,-2.83313871179338e-05,NA,NA,NA,-3.48633091045549e-06,0.000124787509407721,-2.07467700473189e-05,1.82734277478081e-05,NA,0.000261721578702151,0,NA,-1.41032354877558e-06,NA,0.00013038669152493,4.83178041235314e-05,2.57429550850916e-05
"20",8,2005,1.54180981834413e-05,-2.97486947873239e-05,NA,-6.57455867430573e-05,-0.000184497156352686,-4.11382830801914e-05,2.72986384264872e-06,-4.02692488272194e-05,2.51172562219322e-05,NA,-7.78533091777192e-06,NA,-1.99135155591548e-05,-0.000129735420854072,7.92736221889732e-05,0,NA,-7.02795614178805e-06,3.2379635248105e-05,-3.58039805835779e-05,0,-3.38203463203463e-05,NA,-2.16379556192942e-05,NA,-1.74805193119942e-05,1.60776120934395e-07,NA,NA,NA,NA,2.94304838685081e-05,NA,NA,-7.34091050478172e-05,-0.000113590554676378,-0.000126915380015749,NA,-3.9998297834529e-05,-3.01408905916082e-05,-1.39670520679063e-05,-0.000227441480234583,NA,NA,NA,-8.76869319162504e-05,-1.70286783788941e-05,-2.25781311064175e-05,3.75722544066832e-06,NA,-7.18949761144929e-05,0,NA,2.05036261697089e-05,NA,-6.77255496160009e-06,-0.000237909505805995,4.07791689918655e-05
