"","Group.1","Group.2","CEZ","KOMERCNI.BANKA","TELF.O2.CZECH.REPUBLIC","UNIPETROL","MONETA.MONEY.BANK","PHILIP.MORRIS.CR","BOREALIS.EXPLORATION","E4U","ENERGOAQUA","ENERGOCHEMICA","FORTUNA.ENTM.GROUP","JACHYMOV","KOFOLA.CESKOSLOVENSKO","PEGAS.NONWOVENS","PRAZSKE.SLUZBY","RM.S.HOLDING","SAFETY.REAL.INVESTICNI.FOND","TOMA","CENTRAL.EUR.MEDIA..PRA.","ERSTE.GROUP.BANK..PRA.","NEW.WORLD.RES...PRA.","PHOTON.ENERGY..PRA.","STOCK.SPIRITS.GROUP.PRA.","TATRY.MOUNTAIN..PRA..RESORTS.6","VGP..WI...PRA.","VIENNA.IN.GROUP..PRA."
"28",4,2006,0,0.0137220767321755,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0.00392125252917113,0.0124705632283758,0,NA,NA,NA,NA,NA,NA
"29",5,2006,0.00593271239935895,0.0369016142417092,0.0265156697480569,0.00870765285166796,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0.00980848436206288,0,0.0174097705477694,NA,NA,NA,NA,NA,NA
"30",6,2006,0,0,0,0,NA,0.011903370285156,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0.00928295189199068,0,0,NA,NA,NA,NA,NA,NA
"31",7,2006,0.00801729442112764,0,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0.00511606454757688,0.0119751684208028,0.00531755092168271,NA,NA,NA,NA,NA,NA
"32",8,2006,0.0145690675102709,0.00617567008754318,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0.00728620499470417,0,0.00500941138247157,NA,NA,NA,NA,NA,NA
"33",9,2006,0,0,0,0,NA,0.0123726954357813,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0.00488561123949038,0.00644727358667623,0,NA,NA,NA,NA,NA,NA
"34",10,2006,0,0.00850792947106042,0,0.00660545038014402,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,0,0,0.00367311274733175,NA,NA,NA,NA,NA,NA
"35",11,2006,0.016983050960063,0,0,0,NA,0,NA,NA,0.00392040197299006,NA,NA,0,NA,NA,0,0,NA,0,0.0173501912346711,0,NA,NA,NA,NA,NA,NA
"36",12,2006,0,0.00382960059991032,0.00731721721112533,0.0100143317950443,NA,0.891782639379215,NA,NA,0,NA,NA,0,NA,0.019273409801207,0,0,NA,2.56494588021289e-05,0.00611585840536882,0.00422279641926922,NA,NA,NA,NA,NA,NA
"37",1,2007,0.0142185813688494,0.00505768138667558,0.00571475947416671,0.00789829179996595,NA,0.865689296325892,NA,NA,0,NA,NA,0.00464545786645226,NA,0.00995323393742999,0,0,NA,0.0218161915161114,0,0,NA,NA,NA,NA,NA,NA
"38",2,2007,0,0,0,0,NA,0,NA,NA,0.0166763599770414,NA,NA,0,NA,0.0145130676724867,0,0,NA,0.000298083375394373,0.0061530471366622,0.0154168192366831,NA,NA,NA,NA,NA,NA
