"","Group.1","Group.2","VENTSPILS.NAFTA","BALTIC.TELEKOM","DITTON.PIEVADKELU","GRINDEKS","GROBINAS.ZV","LATVIJAS.BALZAMS","LATVIJAS.GAZE","LATVIJAS.KUG","OLAINES.KIMISKI...FAR","RIGAS.KUGU.BUVETAVA","SAF.TEHNNIKA","SALDUS.MR","TALSU.MR.DEAD...DELIST.25.04.17","VALMIERAS.STIKLA.SKIEDRA"
"1",1,2004,0.026472989111762,NA,0.0406206111924802,0.0133728457819817,0.0868025676891922,0.0250596682178861,0,0.0130774056532629,0.00803084016453777,0.0139014524715032,NA,0,0,0
"2",2,2004,0.00442191803693074,NA,0.0200658162353615,0.0327799423804365,0.116358080263933,0.0150280151339912,0.00220819845297927,0.0226789193363332,0.0212852529259931,0.0226141758329867,NA,0.0118370522537134,0,0
"3",3,2004,0,NA,0.0390531509541432,0.0230929993764926,0,0.00626161421816506,0.0069360934739902,0,0.0123692122921871,0.0352148570993649,NA,0,0,0.0366992217088957
"4",4,2004,0.0169676594172589,NA,0,0.0269082508006799,0,0.00137241110392826,0.00811172786714178,0.0150121798638103,0.0267919090186702,0.00644182498134857,NA,0.0283501696880453,0,0.0127883005661833
"5",5,2004,0.0281073659169694,NA,0.045374618654838,0.0148777191164989,0,0.0195561695438277,0.013469916377509,0.00887841175385946,0.00711748772551106,0.00982617376453621,0,0.0328668389490143,0,0
"6",6,2004,0.00332886273856938,NA,0.00863412209356065,0,0.020539048913864,0.0168464621422202,0.00194680994816546,0.0237549628581076,0.0331030260818114,0.00143322603835454,0,0.0140785584214223,0,0.01603257373179
"7",7,2004,0,NA,0,0.00139070090292409,0,0.00778173964252866,0.0252761324929721,0.0088344242598391,0.020611021232116,0.0153036419219739,0.0162131316560777,0.00985357745012494,0,0.0109210356300186
"8",8,2004,0.0409189047051999,NA,0.0271836228025572,0.0122775734116757,0,0.0202974670047442,0.0314071002235852,0.020835717058533,0,0.0169488086345218,0.00582344652578284,0,0,0.0312286670414981
"9",9,2004,0.00969265771190929,NA,0.0369639846743055,0,0,0.0037108125780734,0.0139036108686471,0.0219809839423855,0,0,0.00953043434959984,0,0,0
"10",10,2004,0.0105110139804551,NA,0.0039260221061294,0.00455258812911009,0.000907945493352199,0,0.00952910058477264,0.0404158535910336,0,0.00823555673896685,0,0.0103984292080584,0,0
"11",11,2004,0.0219982215022259,NA,0,0,0,0.0140657542814829,0,0.0289938515274737,0.0262940043373497,0,0,0.000366879678244257,0,0.00799256103036755
"12",12,2004,0,NA,0.0292050740275951,0.0225425128409244,0.12025319083456,0.00976639702767064,0.0385363490567695,0.0058689889522862,0,0,0.00295572325347434,0.0121973585333052,0,0.0124587015009585
"13",1,2005,0.0160282334896697,NA,0.0244511391316171,0.0133667813547134,0.0657384288940437,0,0.0123919244724132,0.0180646572785736,0,0,0,0.00478621169096541,0,0.019272517582166
"14",2,2005,0,NA,0.0166229245512228,0,0.0501301400230752,0.0146460534509435,0.00272273594591536,0,0,0.016126903566235,0,0,0,0.0137121954656045
"15",3,2005,0.00704305607018035,NA,0.0383598925154729,0,0.0784284035363542,0.018415708788491,0.0349856019038115,0.00828048224637731,0.0235613197325751,0.00999356753037247,0,0,0.17138243720277,0.00847938312893109
"16",4,2005,0.00768533525256107,NA,0.0273502584578745,0,0,0,0.0229328195690135,0,0.0370282276299165,0,0,0,0.0216607895245933,0.0174572752064622
"17",5,2005,0.0105657341843125,NA,0.00985487446908031,0.0117698118071052,0,0.056788967989145,0.00920607635343528,0.0162155520897687,0,0,0,0.0455855488169976,0.0324940739547721,0
"18",6,2005,0.0123170583671767,NA,0.0083531446274183,0.00877452599487244,0,0.0227555405040273,0.0112237376572972,0,0,0.0124281977434466,0.00384964981467848,0.0190461005838229,0.194736757864415,0
"19",7,2005,0.0076630891317665,NA,0,0.00907591723667775,0,0.0092369374724672,0.0508487872353615,0.0100369672468539,0,0.00590672814120081,0.0091841185166465,0.0862388434956964,0.00961854705079832,0
"20",8,2005,0.029334929142012,NA,0,0.00644807331116406,0.0238247059680002,0.017526360963555,0.0388004654327846,0,0.0108383161868406,0.0110574573459288,0,0.0188478659770309,0.027060114153644,0.0105107195770602
"21",9,2005,0.0291792587859681,NA,0.0190507272284016,0.00235888139778004,0.00476190020958205,0,0.00616262191481398,0,0,0,0.00811451124536604,0,0.0935227101645961,0
"22",10,2005,0.0212055030664709,NA,0.0160177735502192,0.00973718931103362,6.2733343740412e-05,0.0119331854223055,0,0.0179743333024947,0,0.00799134742969277,0,0.0362227491942552,0,0
"23",11,2005,0.0204806218944628,NA,0,0.00954698020429858,0.0813219138533392,0.0138586402592256,0,0,0,0.0107165419723077,0.00406672193121655,0.00500417833277234,0,0
"24",12,2005,0.010236207466548,NA,0.00785886804943247,0.0104807665025453,0.0316245008401933,0.00352077520205769,0,0.00762801345898389,0.00433310662408512,0.0123897619863457,0.00325653719530887,0,0.0172944316848588,0
"25",1,2006,0.0367840360852906,NA,0.0161513471693149,0.00113534915757627,0.0119098928830045,0,0,0.0077976857949702,0,0.018974459660143,0.00800718981306731,0.0148065466485682,0,0.0222116879127075
"26",2,2006,0,NA,0.0732950056085906,0,0.00270369035217938,0,0.0222923154201851,0,0,0,0.00657837251741087,0.0172012046919129,0,0
"27",3,2006,0,NA,0,0,0.0107139951206416,0,0.0108347124671869,0,0,0,0,0.0088722404954321,0.0151113068972364,0
"28",4,2006,0,NA,0.0217009147705654,0,0,0.0146692196461984,0.0141408114779471,0.0120085990668553,0.0217804911370923,0.0101637621868023,0.00405919807616726,0,0.0323742574162744,0
"29",5,2006,0.0077439454498681,NA,0,0.00208074813169245,0,0,0,0,0,0,0.00230086682208805,0.00501703082459489,0.0209178621360649,0.0128385026038136
"30",6,2006,0,NA,0.026262790561597,0.0221728840765353,0.0189495159521064,0.00282092230584769,0.00214777805636792,0.0112447665478645,0,0.0288494993304685,0.0079328528366233,0.0144603688828326,0,0
"31",7,2006,0.0305171434931591,NA,0,0,0.0439594495950719,0.0116214835752093,0.00950323005931122,0,0,0,0,0,0.0191797240897682,0.0115111746480185
"32",8,2006,0,NA,0.00370274362941795,0,0.0133893770417226,0.0118005872871516,0.0203496954350336,0.0125575847134795,0.00549559282956459,0.00555185105386362,0,0.0174406992014682,0.00139049150447843,0.0188670458278574
