"","Group.1","Group.2","EDP.ENERGIAS.DE.PORTUGAL","GALP.ENERGIA.SGPS","JERONIMO.MARTINS","EDP.RENOVAVEIS","BANCO.COMR.PORTUGUES.R","BANCO.BPI","NAVIGATOR.COMP","NOS.SGPS","SONAE.SGPS","ALTRI.SGPS","CCT.CORREIOS.DE.PORTUGAL","CORTICEIRA.AMORIM","MOTA.ENGIL.SGPS","REN","SEMAPA","SONAE.COM.LIMITED.DATA","CIMENTOS.DE.PORTL.SGPS","CIPAN.LIMITED.DATA","COFINA","COMPTA","CONDURIL.ENGENHARIA.LIMITED.DATA","COPAM.LIMITED.DATA","ESTORIL.SOL.B","F.RAMADA.INVESTIMENTOS","FENALU.LIMITED.DATA","FUTEBOL.CLUBE.DO.PORTO","GI.GLB.INTEL.TECHS.SGPS","IBERSOL...SGPS","IMMOBL.CON.GRAO.PARA","IMPRESA.SGPS","INAPA","INTEL.SENSING.ANYWHERE","LISGRAFICA","LITHO.FORMAS.PORTUGUESA.LIMITED.DATA","LUZ.SAUDE","MARTIFER","MEDIA.CAPITAL","MONTEPIO","NEXPONOR.SICAFI.REIT","NOVABASE","OLIVEIRA.AND.IRMAO.LIMITED.DATA","OREY.ANTUNES","PATRIS.INVESTIMENTOS","PHAROL.SGPS","REDITUS","SAG.GEST","SDC.INVESTIMENTOS","SOCIETY.AGUAS.DA.CURIA.LIMITED.DATA","SONAE.CAPITAL","SONAE.INDUSTRIA.SGPS","SONAGI.LIMITED.DATA","SPORT.LISBOA.E.BENFICA.FUTEBOL","SPORTING.CLUBE.DE.BRAGA","SPORTING.LIMITED.DATA","SUMOL.COMPAL","TEIXEIRA.DUARTE","TOYOTA.CAETANO","TRANSINSULAR.LIMITED.DATA","VAA.VISTA.ALEGRE.ATLANTI","BANCO.SANTANDER..LIS.","EURONEXT..LIS.","ESTORIL.SOL.R"
"1",4,2003,0.5,NA,0,NA,0.5,0,0.5,0,0.5,NA,NA,0.75,0.5,NA,0.25,0,0,0.75,0.25,0,1,1,0.5,NA,1,0.25,0.5,0.25,0.75,0,0.25,NA,0.25,1,NA,NA,NA,NA,NA,0,1,0.75,NA,0,0.25,0.25,0.75,0.75,NA,0.5,1,NA,NA,0,0,NA,0.75,1,0.75,0,NA,1
"2",5,2003,0.19047619047619,NA,0.0476190476190476,NA,0.19047619047619,0.0476190476190476,0.476190476190476,0,0.476190476190476,NA,NA,0.761904761904762,0.428571428571429,NA,0.285714285714286,0.0952380952380952,0.0476190476190476,0.523809523809524,0.333333333333333,0.428571428571429,1,1,0.333333333333333,NA,1,0,0.476190476190476,0.380952380952381,0.80952380952381,0.238095238095238,0.238095238095238,NA,0.333333333333333,0.952380952380952,NA,NA,NA,NA,NA,0.19047619047619,1,0.619047619047619,NA,0.0476190476190476,0.238095238095238,0.476190476190476,0.19047619047619,1,NA,0.19047619047619,1,NA,NA,0.238095238095238,0.0952380952380952,NA,0.761904761904762,1,0.80952380952381,0,NA,1
"3",6,2003,0.0952380952380952,NA,0.0952380952380952,NA,0.19047619047619,0.0476190476190476,0.285714285714286,0,0.523809523809524,NA,NA,0.666666666666667,0.523809523809524,NA,0.0952380952380952,0.142857142857143,0.0476190476190476,0.761904761904762,0.285714285714286,0.428571428571429,1,1,0.285714285714286,NA,1,0.238095238095238,0.380952380952381,0.333333333333333,0.761904761904762,0.142857142857143,0.428571428571429,NA,0.19047619047619,0.952380952380952,NA,NA,NA,NA,NA,0.238095238095238,1,0.952380952380952,NA,0,0.142857142857143,0.571428571428571,0.238095238095238,1,NA,0.238095238095238,1,NA,NA,0.0952380952380952,0.0952380952380952,NA,0.857142857142857,1,0.666666666666667,0,NA,1
"4",7,2003,0.0869565217391304,NA,0.0434782608695652,NA,0.173913043478261,0.173913043478261,0.434782608695652,0,0.565217391304348,NA,NA,0.782608695652174,0.391304347826087,NA,0.173913043478261,0.217391304347826,0.260869565217391,0.565217391304348,0.260869565217391,0.391304347826087,1,1,0.304347826086957,NA,1,0.173913043478261,0.478260869565217,0.391304347826087,0.695652173913043,0.0869565217391304,0.130434782608696,NA,0.304347826086957,0.91304347826087,NA,NA,NA,NA,NA,0.260869565217391,1,0.91304347826087,NA,0.0434782608695652,0.217391304347826,0.217391304347826,0.347826086956522,1,NA,0.0869565217391304,1,NA,NA,0.260869565217391,0.217391304347826,NA,0.608695652173913,1,0.652173913043478,0.0434782608695652,NA,1
"5",8,2003,0.0476190476190476,NA,0.0476190476190476,NA,0.142857142857143,0.285714285714286,0.333333333333333,0,0.571428571428571,NA,NA,0.523809523809524,0.428571428571429,NA,0.238095238095238,0.19047619047619,0.19047619047619,0.666666666666667,0.285714285714286,0.571428571428571,1,1,0.285714285714286,NA,1,0.0476190476190476,0.571428571428571,0.19047619047619,0.571428571428571,0.19047619047619,0.142857142857143,NA,0.285714285714286,0.904761904761905,NA,NA,NA,NA,NA,0.333333333333333,1,0.904761904761905,NA,0.19047619047619,0.142857142857143,0.523809523809524,0.380952380952381,1,NA,0.19047619047619,1,NA,NA,0.0476190476190476,0.142857142857143,NA,0.666666666666667,1,0.904761904761905,0.0952380952380952,NA,1
"6",9,2003,0.272727272727273,NA,0.0909090909090909,NA,0.227272727272727,0,0.409090909090909,0.0454545454545455,0.727272727272727,NA,NA,0.681818181818182,0.545454545454545,NA,0.227272727272727,0.454545454545455,0.227272727272727,0.545454545454545,0.181818181818182,0.818181818181818,1,1,0.363636363636364,NA,1,0.227272727272727,0.590909090909091,0.227272727272727,0.5,0.409090909090909,0.272727272727273,NA,0.363636363636364,1,NA,NA,NA,NA,NA,0.272727272727273,1,0.909090909090909,NA,0.0909090909090909,0.227272727272727,0.636363636363636,0.454545454545455,1,NA,0.227272727272727,1,NA,NA,0.0909090909090909,0.136363636363636,NA,0.636363636363636,1,0.545454545454545,0.181818181818182,NA,1
"7",10,2003,0.260869565217391,NA,0.0869565217391304,NA,0.260869565217391,0.0434782608695652,0.391304347826087,0.0869565217391304,0.217391304347826,NA,NA,0.869565217391304,0.565217391304348,NA,0.173913043478261,0.173913043478261,0.173913043478261,0.695652173913043,0.217391304347826,0.347826086956522,1,0.91304347826087,0.391304347826087,NA,1,0.0869565217391304,0.652173913043478,0.260869565217391,0.521739130434783,0.0869565217391304,0.217391304347826,NA,0.304347826086957,0.782608695652174,NA,NA,NA,NA,NA,0.217391304347826,1,0.826086956521739,NA,0.0869565217391304,0.260869565217391,0.260869565217391,0.260869565217391,1,NA,0.173913043478261,1,NA,NA,0.173913043478261,0.217391304347826,NA,0.608695652173913,1,0.391304347826087,0.0434782608695652,NA,1
"8",11,2003,0.15,NA,0,NA,0.25,0.15,0.3,0.2,0.2,NA,NA,0.3,0.45,NA,0.2,0.4,0.2,0.4,0.3,0.5,1,1,0.3,NA,1,0.2,0.4,0.2,0.45,0.1,0,NA,0.2,0.65,NA,NA,NA,NA,NA,0.3,1,0.7,NA,0.05,0.15,0.25,0.15,1,NA,0.1,1,NA,NA,0.1,0.1,NA,0.55,1,0.6,0.05,NA,1
"9",12,2003,0.333333333333333,NA,0.0952380952380952,NA,0.285714285714286,0.238095238095238,0.428571428571429,0.142857142857143,0.428571428571429,NA,NA,0.238095238095238,0.333333333333333,NA,0.142857142857143,0.285714285714286,0.142857142857143,0.619047619047619,0.285714285714286,0.428571428571429,1,1,0.619047619047619,NA,0.952380952380952,0.19047619047619,0.476190476190476,0.238095238095238,0.666666666666667,0.0476190476190476,0.285714285714286,NA,0.238095238095238,1,NA,NA,NA,NA,NA,0.238095238095238,1,0.857142857142857,NA,0.0476190476190476,0.333333333333333,0.333333333333333,0.428571428571429,1,NA,0.0952380952380952,1,NA,NA,0.238095238095238,0.19047619047619,NA,0.714285714285714,1,0.523809523809524,0.142857142857143,NA,1
"10",1,2004,0.238095238095238,NA,0.0476190476190476,NA,0.0952380952380952,0.238095238095238,0.428571428571429,0,0.19047619047619,NA,NA,0.285714285714286,0.238095238095238,NA,0.19047619047619,0.0952380952380952,0.142857142857143,0.19047619047619,0.0952380952380952,0.333333333333333,1,0.857142857142857,0.571428571428571,NA,0.952380952380952,0.0952380952380952,0.333333333333333,0.19047619047619,0.666666666666667,0,0.142857142857143,NA,0.0476190476190476,0.904761904761905,NA,NA,NA,NA,NA,0.142857142857143,1,1,NA,0.0476190476190476,0.142857142857143,0.0476190476190476,0.238095238095238,1,NA,0.142857142857143,0.952380952380952,NA,NA,0.19047619047619,0.380952380952381,NA,0.619047619047619,1,0.571428571428571,0.0952380952380952,NA,1
