"","Group.1","Group.2","ECOPETROL","BANCO.DE.BOGOTA","BANCOLOMBIA","EMPRESA.DE.ENERGIA.DE.BOGOTA","GRUPO.AVAL.ACCIONES.Y.VALORES","GRUPO.DE.INVERSIONES.SURAMERICANA","CEMENTOS.ARGOS","GRUPO.NACIONAL.DE.CHOCOLATES","INTERCONEXION.ELECTRICA","INVERSIONES.ARGOS","ISAGEN","ALMACENES.EXITO","BANCO.DE.OCCIDENTE","CEMEX.LATAM.HOLDING.BOG.","CORPORACION.FINANCIERA.COLOMBIANA","PROMIGAS","ASDF.DE.PNSI.Y.CESA..PRCN.","BANCO.COMERCIAL.AV.VILLAS","BANCO.POPULAR","BBV.ARGT.CLOMB.","CELSIA.ESP","EMPRESA.DE.ENERGIA.DEL.PACIFICO","EMSA.DE.TC.DE.BOGOTA","GAS.NATURAL","ORGANIZACION.DE.INGENIERIA.INTERNACIONAL","ORGANIZACION.TERPEL","PRODUCTOS.FAMILIA","SOCIEDADES.BOLIVAR","ACERIAS.PAZ.DEL.RIO","AGROGUACHAL","ALIMENTOS.DERIVADOS.DE.LA.CANA","BIOMAX.BIOCOMBUSTIBLES","BOLSA.DE.VALORES.DE.COLOMBIA","BOLSA.NACIONAL.AGROPECUARIA","CARTON.DE.COLOMBIA","CLINICA.DE.MARLY","COLOMBINA","COLTEJER","COMPANIA.AGRICOLA.SAN.FELIPE","COMPANIA.DE.ELECTRICIDAD.DE.TULUA","COMPANIA.DE.EMPAQUES","CONCONCRETO","CONSTRUCCIONES.CIVILES","CONSTRUCCIONES.EL.CONDOR","COOMEVA.ENTIDAD.PROMOTORA.DE.SALUD","CORPORACION.DE.FERIAS.Y.EXPOCISIONES","EDATEL","ENKA.DE.COLOMBIA","F.GAN.CALDAS","FOGANSA","FONDO.GANADERO.DE.TOLIMA","INDUSTRIAS.ESTRA","INGENIO.CENTRAL.CASTILLA","INVERSIONES.EQUIPOS.Y.SERVICIOS","INVERSIONES.VENECIA","MANUFACTURAS.DE.CEMENTO","MAYAGUEZ","MINEROS","RIOPAILA.CASTILLA","TABLEMAC","TEXTILES.FABRICATO.TEJICONDOR","VALOREM","VALORES.INDUSTRIALES","VALORES.SIMESA","ALPHABET.A..BOG.","AMAZON.COM..BOG.","APPLE..BOG.","BANK.OF.AMERICA..BOG.","CANACOL.ENERGY..BOG.","CITIGROUP..BOG.","COLGATE.PALMOLIVE..BOG.","FACEBOOK.A..BOG.","GENERAL.ELECTRIC..BOG.","GRAN.TIERRA.ENERGY..BOG.","JOHNSON...JOHNSON..BOG.","JPMORGAN.CHASE..BOG.","MICROSOFT..BOG.","PACIFIC.EXP...PRDN..BOG.","PFIZER..BOG.","PROCTER...GAMBLE..BOG.","TECNOGLASS..BOG.","WALMART.STORES..BOG.","BANCO.BILBAO.VIZCAYA.ARGENTARIA","CORPORACION.FINANCIERA.COLOMBIANA.1","CORPORACION.FINANCIERA.COLOMBIANA.2","CORPORACION.FINANCIERA.COLOMBIANA.3","ORGANIZACION.DE.INGENIERIA.INTERNACIONAL.1","PROMIGAS.ESP","SDEXITO"
"11",11,2004,NA,0.363636363636364,0.136363636363636,NA,0.409090909090909,0.181818181818182,0.181818181818182,0.363636363636364,0.136363636363636,0.227272727272727,NA,0.272727272727273,0.636363636363636,NA,0.181818181818182,0.590909090909091,NA,1,0.863636363636364,0.818181818181818,0.181818181818182,NA,0.272727272727273,1,NA,NA,1,1,0.136363636363636,1,1,NA,NA,NA,0.954545454545455,0.954545454545455,1,0.681818181818182,NA,NA,1,NA,NA,NA,1,1,0.954545454545455,NA,1,NA,NA,1,1,1,1,1,NA,0.727272727272727,1,0.409090909090909,0.272727272727273,0.272727272727273,1,0.909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.863636363636364
"12",12,2004,NA,0.304347826086957,0.217391304347826,NA,0.434782608695652,0.260869565217391,0.260869565217391,0.173913043478261,0.173913043478261,0.391304347826087,NA,0.391304347826087,0.608695652173913,NA,0.782608695652174,0.869565217391304,NA,0.956521739130435,1,0.869565217391304,0.217391304347826,NA,0.173913043478261,1,NA,NA,1,0.956521739130435,0.260869565217391,1,1,NA,NA,NA,0.91304347826087,1,1,0.869565217391304,NA,NA,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,1,1,1,1,NA,0.782608695652174,1,0.434782608695652,0.521739130434783,0.608695652173913,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.91304347826087
"13",1,2005,NA,0.285714285714286,0.0952380952380952,NA,0.571428571428571,0.238095238095238,0.523809523809524,0.142857142857143,0.0952380952380952,0.238095238095238,NA,0.476190476190476,0.904761904761905,NA,0.666666666666667,0.904761904761905,NA,1,0.857142857142857,0.952380952380952,0.238095238095238,NA,0.19047619047619,1,NA,NA,1,1,0.333333333333333,1,1,NA,NA,NA,0.952380952380952,1,1,1,NA,NA,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,1,1,1,1,NA,0.761904761904762,1,0.333333333333333,0.333333333333333,0.476190476190476,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.80952380952381
"14",2,2005,NA,0.15,0.1,NA,0.25,0.05,0.25,0.1,0,0,NA,0.15,0.7,NA,0.15,0.85,NA,1,0.8,1,0.1,NA,0.2,1,NA,NA,0.95,0.85,0,1,1,NA,NA,NA,0.95,1,1,0.8,NA,NA,1,NA,NA,NA,1,1,0.8,NA,1,NA,NA,1,1,1,1,1,NA,0.65,1,0.2,0.25,0.45,1,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,0.9
"15",3,2005,NA,0.130434782608696,0.217391304347826,NA,0.521739130434783,0.217391304347826,0.391304347826087,0.217391304347826,0.217391304347826,0.304347826086957,NA,0.434782608695652,0.608695652173913,NA,0.260869565217391,0.91304347826087,NA,1,1,0.956521739130435,0.173913043478261,NA,0.347826086956522,0.956521739130435,NA,NA,0.956521739130435,0.869565217391304,0.130434782608696,1,1,NA,NA,NA,1,1,1,0.956521739130435,NA,NA,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,1,1,1,0.91304347826087,NA,0.826086956521739,1,0.391304347826087,0.391304347826087,0.391304347826087,1,0.739130434782609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"16",4,2005,NA,0.0476190476190476,0.142857142857143,NA,0.0952380952380952,0.0952380952380952,0.523809523809524,0.0952380952380952,0.0476190476190476,0.0476190476190476,NA,0.619047619047619,0.380952380952381,NA,0.142857142857143,0.80952380952381,NA,1,1,1,0.0476190476190476,NA,0.0952380952380952,0.666666666666667,NA,NA,1,0.952380952380952,0.0476190476190476,1,1,NA,NA,NA,0.952380952380952,1,1,0.666666666666667,NA,NA,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,1,1,1,0.952380952380952,NA,0.666666666666667,1,0.476190476190476,0.238095238095238,0.428571428571429,1,0.904761904761905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"17",5,2005,NA,0.181818181818182,0.181818181818182,NA,0.318181818181818,0.136363636363636,0.318181818181818,0.227272727272727,0.227272727272727,0.136363636363636,NA,0.363636363636364,0.590909090909091,NA,0.181818181818182,0.909090909090909,NA,1,1,0.863636363636364,0.227272727272727,NA,0.272727272727273,0.590909090909091,0.909090909090909,NA,1,1,0.181818181818182,1,1,NA,NA,NA,0.954545454545455,0.863636363636364,1,0.863636363636364,NA,NA,1,NA,NA,NA,1,1,1,NA,1,NA,NA,1,1,1,1,1,NA,0.636363636363636,1,0.590909090909091,0.681818181818182,0.545454545454545,1,0.909090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"18",6,2005,NA,0.0454545454545455,0.272727272727273,NA,0.363636363636364,0.181818181818182,0.136363636363636,0.136363636363636,0.0909090909090909,0.0454545454545455,NA,0.363636363636364,0.590909090909091,NA,0.181818181818182,1,NA,1,0.909090909090909,0.954545454545455,0.136363636363636,NA,0.181818181818182,0.863636363636364,0.863636363636364,NA,1,1,0.227272727272727,1,1,NA,NA,NA,0.863636363636364,1,1,0.909090909090909,NA,NA,1,NA,NA,NA,1,1,0.909090909090909,NA,1,NA,NA,1,1,1,1,1,NA,0.545454545454545,1,0.363636363636364,0.136363636363636,0.318181818181818,1,0.772727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"19",7,2005,NA,0.0952380952380952,0.0952380952380952,NA,0.238095238095238,0.142857142857143,0.0952380952380952,0.285714285714286,0.19047619047619,0.0952380952380952,NA,0.333333333333333,0.285714285714286,NA,0.142857142857143,0.761904761904762,0.555555555555556,1,0.952380952380952,0.80952380952381,0.142857142857143,NA,0.428571428571429,0.80952380952381,0.80952380952381,NA,1,0.952380952380952,0.142857142857143,1,1,NA,NA,NA,0.714285714285714,1,1,0.857142857142857,NA,NA,1,NA,NA,NA,1,1,0.952380952380952,NA,1,NA,NA,1,1,1,1,1,NA,0.571428571428571,1,0.428571428571429,0.238095238095238,0.238095238095238,1,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1
"20",8,2005,NA,0.173913043478261,0.0434782608695652,NA,0.0869565217391304,0.0434782608695652,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.0869565217391304,NA,0.173913043478261,0.304347826086957,NA,0.0434782608695652,0.478260869565217,0.608695652173913,1,0.739130434782609,0.565217391304348,0.0434782608695652,NA,0.130434782608696,0.826086956521739,0.695652173913043,NA,1,0.91304347826087,0.0869565217391304,1,1,NA,NA,NA,0.826086956521739,0.869565217391304,1,0.739130434782609,NA,NA,1,NA,NA,NA,1,1,0.826086956521739,NA,1,NA,NA,1,1,1,1,0.869565217391304,NA,0.347826086956522,1,0.260869565217391,0.173913043478261,0.130434782608696,1,0.695652173913043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.739130434782609,NA,NA,NA,NA,NA,1
