"","Group.1","Group.2","TALLINK.GROUP","ARCO.VARA","BALTIKA","EKSPRESS.GRUPP","HARJU.ELEKTER","LHV.GROUP","LINDA","MERKO.EHITUS","NORDECON","OLYMPIC.ENTM.GROUP"
"1",1,2004,NA,NA,0.772727272727273,NA,0.272727272727273,NA,NA,NA,NA,NA
"2",2,2004,NA,NA,0.6,NA,0.35,NA,NA,NA,NA,NA
"3",3,2004,NA,NA,0.217391304347826,NA,0.391304347826087,NA,NA,NA,NA,NA
"4",4,2004,NA,NA,0.454545454545455,NA,0.454545454545455,NA,NA,NA,NA,NA
"5",5,2004,NA,NA,0.714285714285714,NA,0.523809523809524,NA,NA,NA,NA,NA
"6",6,2004,NA,NA,0.590909090909091,NA,0.454545454545455,NA,NA,NA,NA,NA
"7",7,2004,NA,NA,0.681818181818182,NA,0.636363636363636,NA,NA,NA,NA,NA
"8",8,2004,NA,NA,0.636363636363636,NA,0.590909090909091,NA,NA,NA,NA,NA
"9",9,2004,NA,NA,0.681818181818182,NA,0.363636363636364,NA,NA,NA,NA,NA
"10",10,2004,NA,NA,0.333333333333333,NA,0.619047619047619,NA,NA,NA,NA,NA
"11",11,2004,NA,NA,0.363636363636364,NA,0.227272727272727,NA,NA,NA,NA,NA
"12",12,2004,NA,NA,0.521739130434783,NA,0.391304347826087,NA,NA,NA,NA,NA
"13",1,2005,NA,NA,0.476190476190476,NA,0.19047619047619,NA,NA,NA,NA,NA
"14",2,2005,NA,NA,0.5,NA,0.2,NA,NA,NA,NA,NA
"15",3,2005,NA,NA,0.130434782608696,NA,0.0869565217391304,NA,NA,NA,NA,NA
"16",4,2005,NA,NA,0,NA,0.0476190476190476,NA,NA,NA,NA,NA
"17",5,2005,NA,NA,0.136363636363636,NA,0.0909090909090909,NA,NA,NA,NA,NA
"18",6,2005,NA,NA,0.272727272727273,NA,0.136363636363636,NA,NA,NA,NA,NA
"19",7,2005,NA,NA,0.285714285714286,NA,0.0476190476190476,NA,NA,NA,NA,NA
"20",8,2005,NA,NA,0.217391304347826,NA,0.130434782608696,NA,NA,NA,NA,NA
"21",9,2005,NA,NA,0.0909090909090909,NA,0.181818181818182,NA,NA,NA,NA,NA
"22",10,2005,NA,NA,0.19047619047619,NA,0.238095238095238,NA,NA,NA,NA,NA
"23",11,2005,NA,NA,0.0909090909090909,NA,0.136363636363636,NA,NA,NA,NA,NA
"24",12,2005,0.533333333333333,NA,0.0454545454545455,NA,0.136363636363636,NA,NA,NA,NA,NA
