Month;Year;AMBEV ON;GERDAU PN;ECOD.INFU.E LOG.ON;METALURGICA GERDAU PN;LOJAS RENNER ON;ITAU UNIBANCO HOLDING PN;CPFL ENERGIA ON;LOJAS AMERICANAS PN REP1 PN;CYRELA BRAZIL REALTY ON;SMILES ON;CIA ENERGETICA DE MINAS GERAIS PN;BANCO SANTANDER BRASIL UNITS;BRF BRASIL FOODS ON;USINAS SIDERURGICAS DE MINAS GERAIS A PN;ENGIE BRASIL ENERGIA ON;WEG ON;QUALICORP ON;EMBRAER ON;CMPH.COCS. RODOVIARIAS ON;ENERGIAS DO BRASIL ON BRAZIL;RUMO ON;RAIA DROGASIL ON;HYPERMARCAS ON;ITAUSA INVESTIMENTOS ITAU PN;MRV ENGENHARIA E PARTICIPACOES ON;BANCO DO BRASIL ON;VALE ON;KLABIN UNITS;MARFRIG FRIGORIFICOS ON;BMF BOVESPA BLVAL. MEREFU.ON;BB SEGURIDADE ON;PETROLEO BRASILEIRO PN;ESTACIO PARTICIPACOES ON;EQUATORIAL ENERGIA ON;CIA PARANAENSE DE ENERGIA COPEL PN;BRASKEM PN SERIES 'A';BANCO BRADESCO PN;MULTIPLAN EMPE. IMOBS.ON;SUZANO BAHIA SUL PAPEL CELULOSE A PN;NATURA COSMETICOS ON;VALE PN;BANCO BRADESCO ON;CIELO ON;KROTON EDUCACIONAL ON;FIBRIA CELULOSE ON;CPAD.SANMT.BASICO DE SAOP.ON;LOCALIZA RENT A CAR ON;TELEFONICA BRASIL PN;BRADESPAR PN;BR MALLS PARTICIPACOES ON;COMPANHIA SIDERURGICA NACIONAL ON;ULTRAPAR PARTICIPOES ON;COSAN INDUSTRIA E COMERCIO ON;CMPBRA.DE DISTB. PN;JBS ON;CENTRAIS ELETR BRAS- ELETROBRAS ON;TIM PARTICIPACOES ON;PETROLEO BRASILEIRO ON
1;2004;0;-0.04;NA;-0.023880597;0;-0.035135135;NA;-0.013333333;NA;NA;-0.026627219;NA;0;-0.021329987;-0.071428571;0;NA;0.044897959;0;NA;NA;0;NA;-0.012903226;NA;-0.020935961;-0.026817219;NA;NA;NA;NA;-0.019961977;NA;NA;-0.025423729;0.00917899;-0.010615711;NA;-0.020364416;NA;-0.0336;-0.0215311;NA;NA;NA;0.008108108;NA;0.008;-0.007272727;NA;-0.023426061;0;NA;-0.029552716;NA;-0.061962913;-0.033950617;-0.019113814
1;2004;-0.044247788;-0.001488095;NA;0.016819572;0;-0.015406162;NA;0.02027027;NA;NA;0.018237082;NA;0;0.019230769;-0.055944056;0;NA;0.02734375;0.019607843;NA;NA;0;NA;-0.013071895;NA;-0.001257862;0.002175489;NA;NA;NA;NA;0.01842871;NA;NA;-0.011857708;0.011116726;0;NA;-0.007658643;NA;0.003311258;-0.009779951;NA;NA;NA;-0.025469169;NA;0.011904762;-0.007326007;NA;0.019490255;0;NA;-0.002743484;NA;-0.0024108;-0.003194888;0.007971656
1;2004;0.023148148;0.032786885;NA;0.037593985;0;0.009957326;NA;0.013245033;NA;NA;-0.010447761;NA;0;0.020125786;0.034074074;0;NA;-0.014122759;0.064102564;NA;NA;0;NA;0;NA;0.001259446;0.000723589;NA;NA;NA;NA;0.025714286;NA;NA;0.008;0.005497251;-0.008583691;NA;0.015435502;NA;0.001650165;0.002469136;NA;NA;NA;-0.008253095;NA;0.001960784;-0.008610086;NA;0.016176471;0;NA;0;NA;-0.018366361;0.003205128;0.0228471
1;2004;0.009049774;-0.005772006;NA;-0.008695652;0;-0.004225352;NA;-0.045751634;NA;NA;-0.018099548;NA;0;-0.011097411;-0.075931232;0;NA;0.002754821;-0.030120482;NA;NA;0;NA;0.01986755;NA;0.002515723;0.018076645;NA;NA;NA;NA;0.020427112;NA;NA;0.002380952;0;0.004329004;NA;0.014115092;NA;0.029654036;0;NA;NA;NA;-0.037447989;NA;-0.004892368;0.008684864;NA;0.004341534;-0.0140625;NA;-0.004126547;NA;0.021171837;0.041533546;0.033505155
1;2004;-0.01793722;0;NA;-0.001461988;0;-0.016973126;NA;-0.01369863;NA;NA;-0.021505376;NA;0.285714286;-0.038653367;0.085271318;0;NA;0.005494505;0;NA;NA;0;NA;-0.025974026;NA;-0.018820577;-0.014204545;NA;NA;NA;NA;-0.018198362;NA;NA;0.003958828;-0.015904573;-0.030172414;NA;0.009635974;NA;-0.0296;-0.019704433;NA;NA;NA;0.014409222;NA;-0.006882989;-0.008610086;NA;-0.002881844;0;NA;-0.020718232;NA;-0.038090646;-0.027607362;-0.016625104
1;2004;-0.01369863;-0.002902758;NA;0.021961933;0;0.028776978;NA;-0.006944444;NA;NA;-0.018838305;NA;0;-0.036316472;-0.021428571;0;NA;-0.04863388;-0.031055901;NA;NA;0;NA;0.02;NA;-0.020460358;-0.015129683;NA;NA;NA;NA;-0.017608897;NA;NA;-0.035488959;-0.021717172;0.013333333;NA;0;NA;-0.01071723;-0.010050251;NA;NA;NA;-0.029829545;NA;-0.00990099;-0.007444169;NA;-0.01300578;0;NA;-0.018053597;NA;-0.039097744;-0.034700315;-0.016906171
1;2004;0.055555556;0.036390102;NA;0.065902579;0;0.039160839;NA;-0.013986014;NA;NA;0.0576;NA;0;0.014804845;0.02919708;0;NA;0.045376221;0.019230769;NA;NA;0;NA;0.039215686;NA;0.011749347;-0.015362107;NA;NA;NA;NA;0.003773585;NA;NA;0.03270646;0.006711409;0.013157895;NA;-0.007423118;NA;-0.013333333;0.020304569;NA;NA;NA;-0.03806735;NA;0.028;0.01625;NA;0.004392387;0;NA;0.037058317;NA;0.075639019;0.022875817;0
1;2004;0.021929825;0.030898876;NA;0.051075269;0;0.020188425;NA;0.035460993;NA;NA;0.090771558;NA;0;0.017241379;-0.007092199;0;NA;0.027472527;0.018867925;NA;NA;0;NA;0.018867925;NA;0.018064516;-0.005943536;NA;NA;NA;NA;0.019736842;NA;NA;0.030087094;-0.005128205;0.043290043;NA;-0.003205128;NA;0.003378378;0.032338308;NA;NA;NA;-0.02435312;NA;0.044747082;-0.01599016;NA;0.020408163;0;NA;0.031855956;NA;0.017943744;0.041533546;0.016337059
1;2004;-0.030042918;-0.005449591;NA;-0.016624041;0;-0.01055409;NA;-0.006849315;NA;NA;-0.004160888;NA;0;0.014341591;0;0;NA;-0.009625668;-0.018518519;NA;NA;0;NA;-0.00617284;NA;-0.006337136;0.032884903;NA;NA;NA;NA;-0.005529954;NA;NA;-0.027671022;-0.009278351;0.002074689;NA;0;NA;0.025252525;-0.026506024;NA;NA;NA;0.020280811;NA;-0.022346369;0;NA;0.054285714;0;NA;-0.008053691;NA;-0.035731301;-0.021472393;-0.00676819
1;2004;-0.030973451;-0.01369863;NA;0;0;-0.033333333;NA;-0.013793103;NA;NA;-0.01810585;NA;0.037777778;-0.044987147;-0.021428571;0;NA;0.008639309;-0.025157233;NA;NA;0;NA;-0.031055901;NA;-0.019132653;0.00723589;NA;NA;NA;NA;-0.003707136;NA;NA;-0.007905138;-0.017689906;-0.028985507;NA;0.001071811;NA;0.005747126;0.007425743;NA;NA;NA;-0.006116208;NA;0.019047619;0;NA;-0.028455285;0;NA;-0.0202977;NA;0.01729249;-0.006269592;0
